Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Less than high school graduate:,Margin of Error!!Total:!!Less than high school graduate:,Estimate!!Total:!!Less than high school graduate:!!In labor force:,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Less than high school graduate:!!Not in labor force,Margin of Error!!Total:!!Less than high school graduate:!!Not in labor force,Estimate!!Total:!!High school graduate (includes equivalency):,Margin of Error!!Total:!!High school graduate (includes equivalency):,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!In Armed Forces,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!High school graduate (includes equivalency):!!Not in labor force,Margin of Error!!Total:!!High school graduate (includes equivalency):!!Not in labor force,Estimate!!Total:!!Some college or associate's degree:,Margin of Error!!Total:!!Some college or associate's degree:,Estimate!!Total:!!Some college or associate's degree:!!In labor force:,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Some college or associate's degree:!!Not in labor force,Margin of Error!!Total:!!Some college or associate's degree:!!Not in labor force,Estimate!!Total:!!Bachelor's degree or higher:,Margin of Error!!Total:!!Bachelor's degree or higher:,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Bachelor's degree or higher:!!Not in labor force,Margin of Error!!Total:!!Bachelor's degree or higher:!!Not in labor force
ZCTA5 23354,98,58,7,12,7,12,0,13,7,12,7,12,0,13,0,13,7,12,7,12,0,13,7,12,7,12,0,13,0,13,12,17,9,15,0,13,9,15,9,15,0,13,3,6,72,60,50,35,0,13,50,35,50,35,0,13,22,33
ZCTA5 23356,480,216,0,13,0,13,0,13,0,13,0,13,0,13,0,13,165,152,135,142,15,25,120,141,120,141,0,13,30,36,167,108,132,108,0,13,132,108,132,108,0,13,35,42,148,104,112,96,0,13,112,96,92,89,20,32,36,42
ZCTA5 23357,339,173,37,41,6,11,0,13,6,11,6,11,0,13,31,35,158,105,139,106,0,13,139,106,139,106,0,13,19,30,99,81,99,81,6,9,93,81,93,81,0,13,0,13,45,42,36,35,0,13,36,35,36,35,0,13,9,16
ZCTA5 23358,78,93,0,13,0,13,0,13,0,13,0,13,0,13,0,13,34,40,22,36,0,13,22,36,22,36,0,13,12,18,34,52,34,52,0,13,34,52,34,52,0,13,0,13,10,16,10,16,0,13,10,16,10,16,0,13,0,13
ZCTA5 23359,766,319,42,34,13,12,0,13,13,12,12,12,1,2,29,27,498,300,321,298,0,13,321,298,310,297,11,19,177,115,140,89,109,79,0,13,109,79,105,79,4,4,31,36,86,74,71,66,0,13,71,66,71,66,0,13,15,26
ZCTA5 23389,116,146,0,13,0,13,0,13,0,13,0,13,0,13,0,13,14,23,14,23,0,13,14,23,14,23,0,13,0,13,92,137,92,137,0,13,92,137,92,137,0,13,0,13,10,17,10,17,0,13,10,17,10,17,0,13,0,13
ZCTA5 23395,52,61,0,13,0,13,0,13,0,13,0,13,0,13,0,13,52,61,52,61,0,13,52,61,52,61,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 23398,17,17,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,10,15,10,15,0,13,10,15,10,15,0,13,0,13,7,10,7,10,0,13,7,10,7,10,0,13,0,13
ZCTA5 23401,135,77,31,42,6,5,0,13,6,5,6,5,0,13,25,42,50,45,39,41,0,13,39,41,39,41,0,13,11,11,36,24,17,14,0,13,17,14,17,14,0,13,19,16,18,26,18,26,0,13,18,26,18,26,0,13,0,13
ZCTA5 23405,434,159,0,13,0,13,0,13,0,13,0,13,0,13,0,13,147,111,125,107,0,13,125,107,125,107,0,13,22,21,126,71,112,65,0,13,112,65,95,63,17,22,14,18,161,99,78,53,0,13,78,53,78,53,0,13,83,83
ZCTA5 23407,493,298,280,271,139,154,0,13,139,154,139,154,0,13,141,170,49,65,49,65,0,13,49,65,49,65,0,13,0,13,92,98,92,98,0,13,92,98,92,98,0,13,0,13,72,82,51,77,0,13,51,77,51,77,0,13,21,33
ZCTA5 23408,48,49,0,13,0,13,0,13,0,13,0,13,0,13,0,13,48,49,48,49,0,13,48,49,48,49,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 23409,52,59,5,8,0,13,0,13,0,13,0,13,0,13,5,8,47,58,34,41,0,13,34,41,34,41,0,13,13,21,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 23410,891,275,20,18,15,17,0,13,15,17,15,17,0,13,5,9,352,122,291,119,0,13,291,119,283,119,8,9,61,61,364,186,248,120,0,13,248,120,248,120,0,13,116,111,155,114,141,112,0,13,141,112,141,112,0,13,14,18
ZCTA5 23413,317,114,47,31,27,27,0,13,27,27,27,27,0,13,20,18,146,62,119,62,0,13,119,62,115,62,4,8,27,22,77,52,66,49,0,13,66,49,66,49,0,13,11,15,47,32,35,28,0,13,35,28,34,28,1,2,12,15
ZCTA5 23414,156,189,156,189,156,189,0,13,156,189,156,189,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 23415,947,427,160,158,125,154,0,13,125,154,125,154,0,13,35,36,461,265,320,212,0,13,320,212,320,212,0,13,141,121,246,138,184,114,14,26,170,115,170,115,0,13,62,56,80,99,80,99,0,13,80,99,80,99,0,13,0,13
ZCTA5 23416,53,70,3,11,3,11,0,13,3,11,3,11,0,13,0,13,50,66,29,39,0,13,29,39,29,39,0,13,21,38,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 23417,1521,243,29,45,26,41,0,13,26,41,25,33,1,18,3,9,344,179,265,157,7,11,258,157,237,153,21,29,79,56,567,198,519,195,0,13,519,195,501,189,18,20,48,30,581,152,374,107,0,13,374,107,364,107,10,13,207,107
ZCTA5 23418,440,158,29,32,21,31,0,13,21,31,21,31,0,13,8,13,132,70,98,63,0,13,98,63,98,63,0,13,34,25,116,83,103,79,0,13,103,79,98,81,5,9,13,19,163,90,129,85,0,13,129,85,129,85,0,13,34,25
ZCTA5 23420,1497,322,340,145,220,143,0,13,220,143,220,143,0,13,120,78,621,232,446,217,0,13,446,217,435,216,11,18,175,82,399,133,255,100,0,13,255,100,223,95,32,29,144,79,137,87,85,55,3,6,82,55,82,55,0,13,52,65
ZCTA5 23421,1845,368,373,201,277,149,0,13,277,149,249,143,28,33,96,93,709,202,542,170,0,13,542,170,539,171,3,6,167,133,534,197,477,194,0,13,477,194,449,189,28,31,57,42,229,87,131,53,0,13,131,53,131,53,0,13,98,67
ZCTA5 23422,43,47,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,43,47,14,22,0,13,14,22,14,22,0,13,29,31,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 23423,147,108,27,43,27,43,0,13,27,43,27,43,0,13,0,13,26,19,16,16,0,13,16,16,16,16,0,13,10,14,67,67,67,67,0,13,67,67,67,67,0,13,0,13,27,38,23,37,0,13,23,37,23,37,0,13,4,6
ZCTA5 23426,16,18,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,16,18,0,13,0,13,0,13,0,13,0,13,16,18,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 23427,155,76,21,20,6,6,0,13,6,6,6,6,0,13,15,19,75,49,22,16,0,13,22,16,22,16,0,13,53,48,49,25,31,20,0,13,31,20,31,20,0,13,18,21,10,7,8,7,0,13,8,7,6,6,2,3,2,3
ZCTA5 23430,9658,520,800,189,497,133,0,20,497,133,449,139,48,40,303,162,2742,391,2145,309,4,8,2141,310,2010,314,131,76,597,224,3096,352,2594,356,45,49,2549,345,2474,337,75,46,502,110,3020,334,2549,301,54,78,2495,281,2445,278,50,32,471,132
ZCTA5 23432,812,185,10,15,0,13,0,13,0,13,0,13,0,13,10,15,223,96,199,91,0,13,199,91,193,91,6,10,24,22,298,112,258,100,0,13,258,100,258,100,0,13,40,41,281,135,233,111,41,53,192,106,192,106,0,13,48,51
ZCTA5 23433,484,94,8,10,6,9,0,13,6,9,6,9,0,13,2,5,80,40,76,40,0,13,76,40,76,40,0,13,4,8,124,51,106,48,5,9,101,45,101,45,0,13,18,18,272,92,224,86,0,13,224,86,224,86,0,13,48,24
ZCTA5 23434,26088,767,2779,377,1508,268,12,18,1496,269,1129,244,367,181,1271,287,7342,631,5514,537,87,51,5427,546,5110,503,317,171,1828,263,9441,682,7525,576,517,157,7008,566,6457,528,551,181,1916,296,6526,517,5813,487,241,88,5572,491,5458,497,114,66,713,172
ZCTA5 23435,17801,870,735,200,476,175,0,27,476,175,376,128,100,131,259,114,3649,449,2872,432,73,73,2799,412,2703,412,96,88,777,223,6094,746,5249,729,401,175,4848,705,4620,713,228,131,845,250,7323,727,6630,682,255,96,6375,673,6328,679,47,32,693,221
ZCTA5 23436,569,196,12,19,0,13,0,13,0,13,0,13,0,13,12,19,80,43,58,42,0,13,58,42,58,42,0,13,22,15,272,131,220,133,0,13,220,133,215,132,5,7,52,34,205,87,184,84,6,8,178,82,178,82,0,13,21,23
ZCTA5 23437,2265,287,217,104,115,65,0,13,115,65,115,65,0,13,102,61,646,138,522,133,3,5,519,133,515,133,4,7,124,54,950,163,825,157,63,47,762,150,753,149,9,14,125,59,452,114,386,99,7,11,379,98,374,97,5,8,66,59
ZCTA5 23438,822,219,30,35,19,26,0,13,19,26,19,26,0,13,11,21,280,125,215,112,0,13,215,112,185,101,30,45,65,54,321,134,300,135,19,22,281,133,274,134,7,14,21,18,191,92,160,78,0,13,160,78,160,78,0,13,31,27
ZCTA5 23440,277,117,52,33,41,30,0,13,41,30,41,30,0,13,11,14,168,102,134,64,0,13,134,64,134,64,0,13,34,49,46,33,26,23,0,13,26,23,26,23,0,13,20,23,11,14,11,14,0,13,11,14,11,14,0,13,0,13
ZCTA5 23441,40,61,0,13,0,13,0,13,0,13,0,13,0,13,0,13,21,33,21,33,0,13,21,33,21,33,0,13,0,13,19,28,19,28,0,13,19,28,19,28,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 23442,464,279,32,25,25,19,0,13,25,19,25,19,0,13,7,10,287,257,283,255,0,13,283,255,274,256,9,13,4,6,99,70,16,23,0,13,16,23,16,23,0,13,83,69,46,42,46,42,0,13,46,42,46,42,0,13,0,13
ZCTA5 23451,22839,1218,722,227,473,173,0,27,473,173,473,173,0,27,249,128,3499,553,2678,472,158,133,2520,448,2362,444,158,88,821,240,6838,775,5774,705,490,201,5284,649,5038,596,246,194,1064,250,11780,866,10085,702,586,176,9499,654,9316,622,183,95,1695,543
ZCTA5 23452,30856,1039,1760,364,1268,287,0,30,1268,287,1196,292,72,60,492,163,7075,649,5555,562,118,65,5437,558,5038,508,399,274,1520,257,12196,784,10202,766,1005,227,9197,769,8932,769,265,115,1994,315,9825,583,8658,540,477,187,8181,482,7959,467,222,126,1167,216
ZCTA5 23453,19029,1091,1143,294,804,253,0,27,804,253,792,251,12,19,339,124,4245,521,3259,430,136,77,3123,416,2923,402,200,117,986,243,7748,785,6713,662,804,237,5909,609,5802,614,107,81,1035,302,5893,595,5034,551,292,106,4742,545,4603,528,139,103,859,215
ZCTA5 23454,31763,1314,1818,389,1070,324,0,30,1070,324,1011,320,59,56,748,245,5587,680,4466,669,101,65,4365,671,4015,654,350,140,1121,238,11541,815,9747,707,917,239,8830,672,8433,696,397,166,1794,329,12817,784,11272,706,572,172,10700,683,10414,656,286,194,1545,286
ZCTA5 23455,26813,1412,1821,533,1455,489,8,13,1447,489,1359,480,88,108,366,129,4839,523,3945,472,282,114,3663,473,3500,474,163,103,894,231,8379,875,7200,848,797,190,6403,778,6268,757,135,110,1179,226,11774,917,10478,933,1102,307,9376,857,9150,853,226,108,1296,257
ZCTA5 23456,31942,1455,1100,271,375,145,6,9,369,141,330,137,39,43,725,266,4569,445,3365,390,196,91,3169,382,2875,348,294,147,1204,207,12857,1246,10602,1130,1290,443,9312,898,9090,894,222,87,2255,355,13416,903,11751,855,624,168,11127,838,10843,812,284,115,1665,258
ZCTA5 23457,2506,437,93,58,64,42,0,13,64,42,55,40,9,15,29,29,713,193,472,146,7,11,465,146,455,143,10,17,241,91,986,273,821,218,18,19,803,218,781,218,22,21,165,92,714,318,644,319,20,23,624,312,613,313,11,17,70,36
ZCTA5 23459,601,157,22,20,3,5,0,13,3,5,3,5,0,13,19,19,78,48,65,47,56,47,9,10,9,10,0,13,13,16,352,125,252,112,167,102,85,46,77,46,8,8,100,55,149,67,121,57,68,52,53,28,49,27,4,6,28,24
ZCTA5 23460,239,118,0,13,0,13,0,13,0,13,0,13,0,13,0,13,31,43,31,43,16,31,15,29,15,29,0,13,0,13,69,64,69,64,60,61,9,18,9,18,0,13,0,13,139,106,139,106,139,106,0,13,0,13,0,13,0,13
ZCTA5 23461,84,42,0,13,0,13,0,13,0,13,0,13,0,13,0,13,32,29,32,29,32,29,0,13,0,13,0,13,0,13,32,38,32,38,32,38,0,13,0,13,0,13,0,13,20,41,20,41,20,41,0,13,0,13,0,13,0,13
ZCTA5 23462,36569,1476,2667,604,1795,410,14,23,1781,410,1596,353,185,137,872,328,8348,840,6410,774,293,147,6117,797,6007,802,110,77,1938,408,14633,1011,12277,906,769,251,11508,899,10992,854,516,187,2356,402,10921,1049,9888,963,931,320,8957,1001,8859,990,98,71,1033,280
ZCTA5 23464,41812,1582,2215,431,1451,329,55,69,1396,317,1222,313,174,104,764,226,8782,684,6890,552,396,194,6494,594,6087,579,407,165,1892,303,15358,990,12384,873,1228,251,11156,820,10768,806,388,147,2974,439,15457,1069,13530,986,769,338,12761,973,12446,961,315,166,1927,354
ZCTA5 23480,149,105,11,12,2,4,0,13,2,4,0,13,2,4,9,13,19,18,12,15,0,13,12,15,11,14,1,4,7,9,53,54,53,54,0,13,53,54,53,54,0,13,0,13,66,54,30,19,0,13,30,19,30,19,0,13,36,49
ZCTA5 23486,19,31,0,13,0,13,0,13,0,13,0,13,0,13,0,13,19,31,19,31,0,13,19,31,0,13,19,31,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 23487,3081,408,319,134,161,84,0,18,161,84,161,84,0,18,158,86,882,210,605,172,6,12,599,172,597,172,2,3,277,108,1091,226,925,214,4,9,921,213,880,214,41,47,166,75,789,203,643,198,15,23,628,191,622,191,6,10,146,78
ZCTA5 23488,636,316,0,13,0,13,0,13,0,13,0,13,0,13,0,13,541,323,265,162,0,13,265,162,265,162,0,13,276,171,28,47,28,47,0,13,28,47,28,47,0,13,0,13,67,71,61,71,0,13,61,71,44,65,17,30,6,7
ZCTA5 23502,11701,892,1205,296,830,285,0,24,830,285,788,275,42,70,375,135,3329,465,2557,460,123,123,2434,467,2315,457,119,119,772,167,3883,462,3330,446,377,146,2953,420,2732,419,221,116,553,170,3284,546,2934,512,88,58,2846,510,2656,473,190,111,350,132
ZCTA5 23503,18989,955,1443,360,901,297,0,27,901,297,864,296,37,40,542,166,4861,471,3732,419,350,158,3382,385,3128,372,254,102,1129,279,7419,586,6164,550,1075,290,5089,500,4959,488,130,69,1255,251,5266,597,4763,591,924,374,3839,414,3745,403,94,52,503,112
ZCTA5 23504,11030,832,2107,403,1198,326,0,24,1198,326,1047,323,151,81,909,226,3375,442,2274,413,38,36,2236,413,1965,373,271,158,1101,229,3444,357,2772,377,73,55,2699,368,2305,336,394,178,672,168,2104,360,1752,287,60,64,1692,279,1515,254,177,107,352,160
ZCTA5 23505,14813,990,1387,383,669,206,6,11,663,206,591,187,72,92,718,263,3099,517,2402,445,544,178,1858,398,1532,345,326,179,697,210,5677,701,4585,613,814,277,3771,505,3439,427,332,239,1092,251,4650,399,3904,368,486,195,3418,347,3297,349,121,74,746,184
ZCTA5 23507,3702,346,93,70,44,47,0,18,44,47,35,45,9,13,49,50,155,54,91,43,8,14,83,41,83,41,0,18,64,36,687,203,584,194,110,114,474,171,474,171,0,18,103,52,2767,299,2301,276,227,133,2074,258,2047,257,27,24,466,138
ZCTA5 23508,7769,470,346,133,265,119,10,16,255,119,249,117,6,10,81,59,925,220,533,140,0,24,533,140,416,107,117,77,392,157,2198,344,1639,295,115,59,1524,298,1411,280,113,85,559,178,4300,357,3776,299,458,127,3318,306,3225,305,93,51,524,159
ZCTA5 23509,7418,616,888,347,523,219,0,20,523,219,472,209,51,49,365,165,2025,295,1596,272,69,44,1527,277,1435,270,92,45,429,103,2522,326,2180,290,223,101,1957,299,1811,272,146,85,342,126,1983,207,1777,203,111,48,1666,208,1545,213,121,79,206,70
ZCTA5 23510,5516,599,558,193,184,124,0,18,184,124,126,118,58,37,374,109,1078,259,559,237,94,111,465,217,366,197,99,53,519,146,1259,321,850,290,58,54,792,286,684,256,108,95,409,135,2621,307,2187,343,436,198,1751,300,1732,297,19,27,434,163
ZCTA5 23511,3862,581,0,20,0,20,0,20,0,20,0,20,0,20,0,20,595,256,595,256,595,256,0,20,0,20,0,20,0,20,2198,377,2170,380,2139,376,31,46,31,46,0,20,28,23,1069,279,984,274,899,258,85,67,53,47,32,51,85,46
ZCTA5 23513,17529,1204,2330,504,1568,409,0,27,1568,409,1517,404,51,45,762,260,5164,537,3925,482,306,212,3619,451,3165,440,454,225,1239,269,7033,956,6095,941,371,180,5724,917,5559,883,165,99,938,263,3002,471,2686,470,63,59,2623,452,2453,435,170,101,316,102
ZCTA5 23517,2965,515,35,27,7,12,0,13,7,12,7,12,0,13,28,25,525,245,418,197,0,13,418,197,385,195,33,49,107,83,793,296,627,253,11,22,616,245,518,187,98,87,166,83,1612,331,1420,315,250,121,1170,287,989,168,181,205,192,93
ZCTA5 23518,16847,847,1841,318,1208,283,0,24,1208,283,1074,281,134,95,633,190,4043,464,3268,415,147,97,3121,397,2927,383,194,98,775,192,5524,507,4442,476,455,179,3987,465,3843,466,144,61,1082,209,5439,734,4742,706,719,338,4023,559,3888,550,135,87,697,153
ZCTA5 23523,3595,552,619,270,371,172,0,18,371,172,300,154,71,88,248,184,1269,306,976,280,64,55,912,265,735,213,177,109,293,177,1249,342,1055,332,27,23,1028,330,1003,328,25,28,194,85,458,176,396,159,11,18,385,157,385,157,0,18,62,60
ZCTA5 23551,274,118,0,13,0,13,0,13,0,13,0,13,0,13,0,13,155,95,147,93,147,93,0,13,0,13,0,13,8,18,75,58,56,53,56,53,0,13,0,13,0,13,19,25,44,47,37,44,37,44,0,13,0,13,0,13,7,16
ZCTA5 23601,14211,1114,684,240,411,194,0,24,411,194,346,177,65,72,273,134,3378,454,2363,347,71,83,2292,345,2180,346,112,85,1015,296,5550,749,4763,712,196,167,4567,679,4377,667,190,153,787,284,4599,746,4145,735,334,286,3811,602,3672,568,139,107,454,162
ZCTA5 23602,22516,890,1300,296,895,241,0,27,895,241,825,234,70,61,405,165,5935,711,4765,596,167,94,4598,607,4343,612,255,138,1170,284,7209,684,6360,636,349,148,6011,598,5750,596,261,119,849,169,8072,746,7234,784,458,159,6776,782,6637,790,139,70,838,276
ZCTA5 23603,1816,330,128,113,83,78,0,13,83,78,83,78,0,13,45,45,300,147,168,99,60,76,108,69,108,69,0,13,132,97,811,205,685,171,74,62,611,179,578,178,33,44,126,110,577,288,379,134,36,44,343,135,323,134,20,32,198,249
ZCTA5 23604,2303,436,46,38,0,18,0,18,0,18,0,18,0,18,46,38,506,173,426,168,359,161,67,44,67,44,0,18,80,50,1206,285,1061,282,787,256,274,88,240,86,34,24,145,43,545,182,466,180,366,169,100,43,86,43,14,12,79,35
ZCTA5 23605,7506,757,656,164,365,126,0,20,365,126,321,117,44,55,291,120,3126,509,2348,448,13,26,2335,445,2217,439,118,71,778,231,2666,416,2155,345,111,82,2044,341,1827,330,217,155,511,183,1058,353,1000,360,47,54,953,346,937,346,16,20,58,39
ZCTA5 23606,13116,735,877,232,614,231,0,24,614,231,590,229,24,33,263,121,3415,401,2673,387,48,62,2625,379,2519,368,106,64,742,174,4218,393,3636,389,81,45,3555,394,3398,394,157,100,582,126,4606,432,4000,378,151,86,3849,355,3805,354,44,42,606,185
ZCTA5 23607,11730,813,1734,354,877,185,0,24,877,185,826,186,51,59,857,290,4388,574,3083,540,42,57,3041,543,2786,539,255,112,1305,244,4152,501,3135,447,172,114,2963,457,2870,448,93,95,1017,254,1456,350,1356,339,100,79,1256,330,1240,331,16,18,100,56
ZCTA5 23608,22131,1182,1506,398,1119,346,0,27,1119,346,1071,350,48,45,387,130,5498,635,4182,575,191,115,3991,575,3750,547,241,126,1316,306,8810,841,7293,743,539,189,6754,711,6459,708,295,145,1517,310,6317,693,5583,641,427,262,5156,651,4997,651,159,92,734,190
ZCTA5 23651,174,56,7,10,0,13,0,13,0,13,0,13,0,13,7,10,10,13,10,13,0,13,10,13,10,13,0,13,0,13,45,29,40,27,0,13,40,27,40,27,0,13,5,7,112,35,90,35,9,7,81,37,81,37,0,13,22,13
ZCTA5 23661,6954,609,410,147,199,90,0,20,199,90,152,80,47,44,211,123,2118,379,1611,325,12,19,1599,324,1501,305,98,84,507,169,2708,454,2145,392,177,118,1968,383,1887,385,81,49,563,214,1718,311,1560,299,39,39,1521,300,1493,298,28,27,158,83
ZCTA5 23662,6170,125,146,92,132,93,0,20,132,93,132,93,0,20,14,20,1315,243,984,236,0,20,984,236,984,236,0,20,331,146,1951,275,1689,278,113,64,1576,268,1566,266,10,19,262,88,2758,287,2400,280,117,65,2283,278,2235,287,48,57,358,130
ZCTA5 23663,7411,780,734,230,419,173,0,20,419,173,311,126,108,105,315,190,2759,560,1865,423,0,20,1865,423,1763,403,102,90,894,288,2940,574,2331,456,61,68,2270,452,2082,451,188,128,609,259,978,223,861,200,18,32,843,197,834,198,9,15,117,64
ZCTA5 23664,5584,567,192,97,167,91,0,18,167,91,167,91,0,18,25,40,1665,291,1150,259,76,73,1074,257,1074,257,0,18,515,199,2071,414,1710,399,136,104,1574,400,1558,398,16,27,361,133,1656,390,1538,373,53,52,1485,379,1465,372,20,31,118,78
ZCTA5 23665,2440,349,87,88,69,80,0,18,69,80,69,80,0,18,18,25,419,197,216,128,63,63,153,112,153,112,0,18,203,142,1042,279,865,246,311,122,554,218,554,218,0,18,177,100,892,264,529,164,243,81,286,140,286,140,0,18,363,148
ZCTA5 23666,28067,1323,2259,499,1732,446,0,30,1732,446,1658,436,74,53,527,173,7526,860,5660,738,271,162,5389,706,5171,699,218,97,1866,460,10579,860,8991,754,481,223,8510,746,7842,686,668,232,1588,372,7703,796,6934,744,324,170,6610,716,6427,719,183,120,769,222
ZCTA5 23669,19329,995,1063,224,619,194,0,27,619,194,535,174,84,57,444,149,4956,635,3411,537,55,71,3356,532,3189,534,167,106,1545,349,7288,752,5791,727,731,355,5060,599,4909,586,151,78,1497,341,6022,662,5230,627,199,141,5031,600,4896,597,135,84,792,272
ZCTA5 23690,2128,443,139,95,93,96,0,13,93,96,67,65,26,37,46,29,409,169,329,147,96,102,233,104,233,104,0,13,80,51,747,262,666,257,275,228,391,137,391,137,0,13,81,49,833,232,802,226,102,72,700,223,700,223,0,13,31,35
ZCTA5 23691,48,31,0,13,0,13,0,13,0,13,0,13,0,13,0,13,14,15,0,13,0,13,0,13,0,13,0,13,14,15,22,18,9,9,9,9,0,13,0,13,0,13,13,13,12,12,8,12,8,12,0,13,0,13,0,13,4,7
ZCTA5 23692,9441,644,298,143,182,109,0,20,182,109,164,106,18,28,116,93,1296,269,1057,227,72,61,985,215,913,202,72,52,239,108,3059,384,2497,341,253,153,2244,352,2102,351,142,92,562,161,4788,603,3998,526,327,124,3671,511,3535,503,136,97,790,219
ZCTA5 23693,13018,690,461,208,135,93,0,24,135,93,135,93,0,24,326,170,1603,342,1389,334,22,32,1367,331,1333,323,34,32,214,94,3118,452,2548,418,392,203,2156,339,2069,321,87,67,570,148,7836,600,6498,536,588,218,5910,533,5797,544,113,73,1338,309
ZCTA5 23696,2111,361,61,64,49,44,0,13,49,44,49,44,0,13,12,24,522,205,316,127,0,13,316,127,256,122,60,46,206,125,748,178,519,147,0,13,519,147,481,150,38,43,229,96,780,182,744,182,0,13,744,182,727,182,17,19,36,32
ZCTA5 23701,12349,764,1107,265,389,170,0,24,389,170,382,168,7,10,718,227,3924,409,2611,423,43,59,2568,422,2515,425,53,48,1313,302,5166,731,4141,613,133,98,4008,608,3924,610,84,70,1025,294,2152,357,1821,325,150,99,1671,304,1586,300,85,65,331,159
ZCTA5 23702,6723,771,669,194,297,133,0,20,297,133,222,109,75,77,372,164,2480,462,1692,311,37,37,1655,311,1514,295,141,105,788,249,2693,429,2022,338,95,65,1927,328,1889,319,38,43,671,232,881,194,759,178,5,9,754,179,739,180,15,21,122,77
