Label (Grouping),Total
ZCTA5 22801,
    ZCTA5 22801,"40,460"
ZCTA5 22802,
    ZCTA5 22802,"28,383"
ZCTA5 22807,
    ZCTA5 22807,"5,575"
ZCTA5 22810,
    ZCTA5 22810,798
ZCTA5 22811,
    ZCTA5 22811,435
ZCTA5 22812,
    ZCTA5 22812,"9,799"
ZCTA5 22815,
    ZCTA5 22815,"9,083"
ZCTA5 22820,
    ZCTA5 22820,281
ZCTA5 22821,
    ZCTA5 22821,"5,848"
ZCTA5 22824,
    ZCTA5 22824,"6,070"
ZCTA5 22827,
    ZCTA5 22827,"10,769"
ZCTA5 22830,
    ZCTA5 22830,"1,671"
ZCTA5 22831,
    ZCTA5 22831,918
ZCTA5 22832,
    ZCTA5 22832,"1,181"
ZCTA5 22834,
    ZCTA5 22834,"1,354"
ZCTA5 22835,
    ZCTA5 22835,"11,561"
ZCTA5 22840,
    ZCTA5 22840,"4,524"
ZCTA5 22841,
    ZCTA5 22841,"3,047"
ZCTA5 22842,
    ZCTA5 22842,"5,215"
ZCTA5 22843,
    ZCTA5 22843,"2,374"
ZCTA5 22844,
    ZCTA5 22844,"4,599"
ZCTA5 22845,
    ZCTA5 22845,72
ZCTA5 22846,
    ZCTA5 22846,"2,254"
ZCTA5 22847,
    ZCTA5 22847,993
ZCTA5 22849,
    ZCTA5 22849,"4,891"
ZCTA5 22850,
    ZCTA5 22850,971
ZCTA5 22851,
    ZCTA5 22851,"5,771"
ZCTA5 22853,
    ZCTA5 22853,"4,608"
ZCTA5 22901,
    ZCTA5 22901,"36,938"
ZCTA5 22902,
    ZCTA5 22902,"22,457"
ZCTA5 22903,
    ZCTA5 22903,"42,170"
ZCTA5 22904,
    ZCTA5 22904,"4,917"
ZCTA5 22908,
    ZCTA5 22908,0
ZCTA5 22911,
    ZCTA5 22911,"19,236"
ZCTA5 22920,
    ZCTA5 22920,"4,192"
ZCTA5 22922,
    ZCTA5 22922,"1,997"
ZCTA5 22923,
    ZCTA5 22923,"5,819"
ZCTA5 22931,
    ZCTA5 22931,357
ZCTA5 22932,
    ZCTA5 22932,"10,443"
ZCTA5 22935,
    ZCTA5 22935,"1,068"
ZCTA5 22936,
    ZCTA5 22936,"5,356"
ZCTA5 22937,
    ZCTA5 22937,"1,401"
ZCTA5 22938,
    ZCTA5 22938,"1,314"
ZCTA5 22939,
    ZCTA5 22939,"6,478"
ZCTA5 22940,
    ZCTA5 22940,"1,081"
ZCTA5 22942,
    ZCTA5 22942,"9,435"
ZCTA5 22943,
    ZCTA5 22943,543
ZCTA5 22946,
    ZCTA5 22946,182
ZCTA5 22947,
    ZCTA5 22947,"5,000"
ZCTA5 22948,
    ZCTA5 22948,252
ZCTA5 22949,
    ZCTA5 22949,"1,322"
ZCTA5 22952,
    ZCTA5 22952,"1,939"
ZCTA5 22957,
    ZCTA5 22957,5
ZCTA5 22958,
    ZCTA5 22958,"1,981"
ZCTA5 22959,
    ZCTA5 22959,"1,712"
ZCTA5 22960,
    ZCTA5 22960,"11,067"
ZCTA5 22963,
    ZCTA5 22963,"16,279"
ZCTA5 22964,
    ZCTA5 22964,193
ZCTA5 22967,
    ZCTA5 22967,"1,857"
ZCTA5 22968,
    ZCTA5 22968,"10,632"
ZCTA5 22969,
    ZCTA5 22969,"1,313"
ZCTA5 22971,
    ZCTA5 22971,"1,709"
ZCTA5 22972,
    ZCTA5 22972,391
ZCTA5 22973,
    ZCTA5 22973,"6,588"
ZCTA5 22974,
    ZCTA5 22974,"5,427"
ZCTA5 22976,
    ZCTA5 22976,307
ZCTA5 22980,
    ZCTA5 22980,"33,049"
ZCTA5 22989,
    ZCTA5 22989,170
ZCTA5 23002,
    ZCTA5 23002,"10,555"
ZCTA5 23004,
    ZCTA5 23004,759
ZCTA5 23005,
    ZCTA5 23005,"17,818"
ZCTA5 23009,
    ZCTA5 23009,"7,737"
ZCTA5 23011,
    ZCTA5 23011,"1,555"
ZCTA5 23015,
    ZCTA5 23015,"4,590"
ZCTA5 23021,
    ZCTA5 23021,78
ZCTA5 23022,
    ZCTA5 23022,910
ZCTA5 23023,
    ZCTA5 23023,395
ZCTA5 23024,
    ZCTA5 23024,"9,108"
ZCTA5 23025,
    ZCTA5 23025,531
ZCTA5 23027,
    ZCTA5 23027,"1,345"
ZCTA5 23030,
    ZCTA5 23030,"4,678"
ZCTA5 23032,
    ZCTA5 23032,252
ZCTA5 23035,
    ZCTA5 23035,"1,410"
ZCTA5 23038,
    ZCTA5 23038,"1,935"
ZCTA5 23039,
    ZCTA5 23039,"1,124"
ZCTA5 23040,
    ZCTA5 23040,"4,555"
ZCTA5 23043,
    ZCTA5 23043,"1,627"
ZCTA5 23045,
    ZCTA5 23045,133
ZCTA5 23047,
    ZCTA5 23047,"2,064"
ZCTA5 23050,
    ZCTA5 23050,671
ZCTA5 23055,
    ZCTA5 23055,831
ZCTA5 23056,
    ZCTA5 23056,425
ZCTA5 23059,
    ZCTA5 23059,"40,249"
ZCTA5 23060,
    ZCTA5 23060,"38,288"
ZCTA5 23061,
    ZCTA5 23061,"22,256"
ZCTA5 23062,
    ZCTA5 23062,"2,652"
ZCTA5 23063,
    ZCTA5 23063,"5,527"
ZCTA5 23065,
    ZCTA5 23065,"1,602"
ZCTA5 23066,
    ZCTA5 23066,578
ZCTA5 23068,
    ZCTA5 23068,241
ZCTA5 23069,
    ZCTA5 23069,"3,835"
ZCTA5 23070,
    ZCTA5 23070,463
ZCTA5 23071,
    ZCTA5 23071,"1,567"
ZCTA5 23072,
    ZCTA5 23072,"12,312"
ZCTA5 23075,
    ZCTA5 23075,"10,236"
ZCTA5 23076,
    ZCTA5 23076,433
ZCTA5 23079,
    ZCTA5 23079,401
ZCTA5 23081,
    ZCTA5 23081,8
ZCTA5 23083,
    ZCTA5 23083,"2,180"
ZCTA5 23084,
    ZCTA5 23084,"1,842"
ZCTA5 23085,
    ZCTA5 23085,384
ZCTA5 23086,
    ZCTA5 23086,"3,416"
ZCTA5 23089,
    ZCTA5 23089,"5,507"
ZCTA5 23091,
    ZCTA5 23091,329
ZCTA5 23092,
    ZCTA5 23092,657
ZCTA5 23093,
    ZCTA5 23093,"14,170"
ZCTA5 23102,
    ZCTA5 23102,"3,195"
ZCTA5 23103,
    ZCTA5 23103,"5,836"
ZCTA5 23106,
    ZCTA5 23106,960
ZCTA5 23108,
    ZCTA5 23108,149
ZCTA5 23109,
    ZCTA5 23109,"1,806"
ZCTA5 23110,
    ZCTA5 23110,687
ZCTA5 23111,
    ZCTA5 23111,"38,151"
ZCTA5 23112,
    ZCTA5 23112,"54,592"
ZCTA5 23113,
    ZCTA5 23113,"26,190"
ZCTA5 23114,
    ZCTA5 23114,"21,160"
ZCTA5 23116,
    ZCTA5 23116,"32,410"
ZCTA5 23117,
    ZCTA5 23117,"10,324"
ZCTA5 23119,
    ZCTA5 23119,289
ZCTA5 23120,
    ZCTA5 23120,"14,424"
ZCTA5 23123,
    ZCTA5 23123,"1,827"
ZCTA5 23124,
    ZCTA5 23124,"4,879"
ZCTA5 23126,
    ZCTA5 23126,459
ZCTA5 23128,
    ZCTA5 23128,707
ZCTA5 23129,
    ZCTA5 23129,300
ZCTA5 23130,
    ZCTA5 23130,163
ZCTA5 23138,
    ZCTA5 23138,"1,156"
ZCTA5 23139,
    ZCTA5 23139,"27,015"
ZCTA5 23140,
    ZCTA5 23140,"5,956"
ZCTA5 23141,
    ZCTA5 23141,"7,739"
ZCTA5 23146,
    ZCTA5 23146,"3,151"
ZCTA5 23147,
    ZCTA5 23147,5
ZCTA5 23148,
    ZCTA5 23148,"1,504"
ZCTA5 23149,
    ZCTA5 23149,"3,031"
ZCTA5 23150,
    ZCTA5 23150,"12,556"
ZCTA5 23153,
    ZCTA5 23153,"1,609"
ZCTA5 23156,
    ZCTA5 23156,"1,472"
ZCTA5 23160,
    ZCTA5 23160,"1,009"
ZCTA5 23161,
    ZCTA5 23161,130
ZCTA5 23163,
    ZCTA5 23163,186
ZCTA5 23168,
    ZCTA5 23168,"8,624"
ZCTA5 23169,
    ZCTA5 23169,"1,077"
ZCTA5 23173,
    ZCTA5 23173,"2,098"
ZCTA5 23175,
    ZCTA5 23175,"1,931"
ZCTA5 23176,
    ZCTA5 23176,732
ZCTA5 23177,
    ZCTA5 23177,612
ZCTA5 23180,
    ZCTA5 23180,438
ZCTA5 23181,
    ZCTA5 23181,"5,626"
ZCTA5 23185,
    ZCTA5 23185,"51,566"
ZCTA5 23188,
    ZCTA5 23188,"45,438"
ZCTA5 23192,
    ZCTA5 23192,"6,592"
ZCTA5 23219,
    ZCTA5 23219,"5,307"
ZCTA5 23220,
    ZCTA5 23220,"36,942"
ZCTA5 23221,
    ZCTA5 23221,"14,841"
ZCTA5 23222,
    ZCTA5 23222,"24,337"
ZCTA5 23223,
    ZCTA5 23223,"51,960"
ZCTA5 23224,
    ZCTA5 23224,"39,468"
ZCTA5 23225,
    ZCTA5 23225,"40,876"
ZCTA5 23226,
    ZCTA5 23226,"16,955"
ZCTA5 23227,
    ZCTA5 23227,"25,283"
ZCTA5 23228,
    ZCTA5 23228,"36,384"
ZCTA5 23229,
    ZCTA5 23229,"34,471"
ZCTA5 23230,
    ZCTA5 23230,"8,263"
ZCTA5 23231,
    ZCTA5 23231,"37,455"
ZCTA5 23233,
    ZCTA5 23233,"32,610"
ZCTA5 23234,
    ZCTA5 23234,"46,610"
ZCTA5 23235,
    ZCTA5 23235,"34,058"
ZCTA5 23236,
    ZCTA5 23236,"27,516"
ZCTA5 23237,
    ZCTA5 23237,"24,906"
ZCTA5 23238,
    ZCTA5 23238,"26,200"
ZCTA5 23250,
    ZCTA5 23250,0
ZCTA5 23284,
    ZCTA5 23284,"3,074"
ZCTA5 23294,
    ZCTA5 23294,"18,538"
ZCTA5 23298,
    ZCTA5 23298,28
ZCTA5 23301,
    ZCTA5 23301,"1,600"
ZCTA5 23302,
    ZCTA5 23302,78
ZCTA5 23303,
    ZCTA5 23303,685
ZCTA5 23304,
    ZCTA5 23304,101
ZCTA5 23306,
    ZCTA5 23306,"1,066"
ZCTA5 23307,
    ZCTA5 23307,547
ZCTA5 23308,
    ZCTA5 23308,"2,068"
ZCTA5 23310,
    ZCTA5 23310,"5,260"
ZCTA5 23314,
    ZCTA5 23314,"9,523"
ZCTA5 23315,
    ZCTA5 23315,"1,479"
ZCTA5 23316,
    ZCTA5 23316,107
ZCTA5 23320,
    ZCTA5 23320,"60,412"
ZCTA5 23321,
    ZCTA5 23321,"37,752"
ZCTA5 23322,
    ZCTA5 23322,"66,994"
ZCTA5 23323,
    ZCTA5 23323,"42,736"
ZCTA5 23324,
    ZCTA5 23324,"24,239"
ZCTA5 23325,
    ZCTA5 23325,"17,601"
ZCTA5 23336,
    ZCTA5 23336,"3,345"
ZCTA5 23337,
    ZCTA5 23337,524
ZCTA5 23347,
    ZCTA5 23347,447
ZCTA5 23350,
    ZCTA5 23350,"3,433"
ZCTA5 23354,
    ZCTA5 23354,327
ZCTA5 23356,
    ZCTA5 23356,"1,736"
ZCTA5 23357,
    ZCTA5 23357,730
ZCTA5 23358,
    ZCTA5 23358,123
ZCTA5 23359,
    ZCTA5 23359,653
ZCTA5 23389,
    ZCTA5 23389,180
ZCTA5 23395,
    ZCTA5 23395,922
ZCTA5 23398,
    ZCTA5 23398,83
ZCTA5 23401,
    ZCTA5 23401,168
ZCTA5 23405,
    ZCTA5 23405,"1,075"
ZCTA5 23407,
    ZCTA5 23407,313
ZCTA5 23408,
    ZCTA5 23408,49
ZCTA5 23409,
    ZCTA5 23409,149
ZCTA5 23410,
    ZCTA5 23410,"2,440"
ZCTA5 23413,
    ZCTA5 23413,799
ZCTA5 23414,
    ZCTA5 23414,96
ZCTA5 23415,
    ZCTA5 23415,"2,021"
ZCTA5 23416,
    ZCTA5 23416,330
ZCTA5 23417,
    ZCTA5 23417,"3,625"
ZCTA5 23418,
    ZCTA5 23418,"1,010"
ZCTA5 23420,
    ZCTA5 23420,"2,387"
ZCTA5 23421,
    ZCTA5 23421,"4,172"
ZCTA5 23422,
    ZCTA5 23422,226
ZCTA5 23423,
    ZCTA5 23423,384
ZCTA5 23426,
    ZCTA5 23426,140
ZCTA5 23427,
    ZCTA5 23427,173
ZCTA5 23430,
    ZCTA5 23430,"18,232"
ZCTA5 23432,
    ZCTA5 23432,"1,539"
ZCTA5 23433,
    ZCTA5 23433,"1,291"
ZCTA5 23434,
    ZCTA5 23434,"51,430"
ZCTA5 23435,
    ZCTA5 23435,"32,597"
ZCTA5 23436,
    ZCTA5 23436,962
ZCTA5 23437,
    ZCTA5 23437,"4,448"
ZCTA5 23438,
    ZCTA5 23438,"1,839"
ZCTA5 23440,
    ZCTA5 23440,438
ZCTA5 23441,
    ZCTA5 23441,53
ZCTA5 23442,
    ZCTA5 23442,"1,074"
ZCTA5 23451,
    ZCTA5 23451,"44,879"
ZCTA5 23452,
    ZCTA5 23452,"59,076"
ZCTA5 23453,
    ZCTA5 23453,"36,292"
ZCTA5 23454,
    ZCTA5 23454,"58,665"
ZCTA5 23455,
    ZCTA5 23455,"50,599"
ZCTA5 23456,
