ZIP,Total Employed Civillians Above 16,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations"
22939,2830,1329,293,786,151,271
22940,460,259,78,61,62,0
22942,5179,1740,976,1210,585,668
22943,308,185,47,61,0,15
22946,81,18,29,11,0,23
22947,1662,885,284,266,125,102
22948,12,0,0,12,0,0
22949,346,162,0,86,45,53
22952,1130,284,162,203,200,281
22958,652,431,23,91,9,98
22959,892,399,234,125,87,47
22960,4734,1454,970,895,704,711
22963,7572,3711,1268,1362,586,645
22964,93,40,28,10,11,4
22967,936,298,276,116,163,83
22968,5963,2346,900,1521,694,502
22969,850,229,218,159,182,62
22971,1040,435,169,37,319,80
22972,264,252,12,0,0,0
22973,2283,857,490,321,338,277
22974,2103,856,458,392,217,180
22976,241,83,43,67,36,12
22980,15338,5134,2590,3520,1287,2807
22989,19,19,0,0,0,0
23002,5189,1409,824,957,1051,948
23004,429,25,70,28,94,212
23005,9124,3690,1576,2083,584,1191
23009,3297,1305,491,717,519,265
23011,484,159,85,58,160,22
23015,2118,1074,237,389,313,105
23021,66,15,0,0,51,0
23022,341,138,53,30,62,58
23023,352,130,119,0,57,46
23024,4737,1703,849,1335,368,482
23025,62,19,0,0,0,43
23027,587,181,146,136,115,9
23030,2293,631,429,450,379,404
23032,155,56,9,7,43,40
23035,642,266,0,98,143,135
23038,843,344,181,108,81,129
23039,559,270,151,71,41,26
23040,2485,375,698,580,427,405
23043,645,95,216,156,124,54
23045,25,0,0,0,25,0
23047,692,352,137,85,25,93
23050,342,31,32,212,37,30
23055,724,357,262,37,47,21
23056,215,80,25,55,39,16
23059,20305,12666,2323,3665,794,857
23060,19641,10126,2607,4818,1023,1067
23061,10563,3643,1762,2033,1483,1642
23062,1048,327,152,217,92,260
23063,1800,520,291,473,210,306
23065,1111,533,128,216,151,83
23066,186,63,0,20,71,32
23068,69,33,0,36,0,0
23069,1651,463,355,461,156,216
23070,338,80,17,190,23,28
23071,813,351,114,215,83,50
23072,5837,1726,1124,1282,816,889
23075,4809,1404,963,1193,278,971
23076,250,131,14,82,23,0
23079,233,29,43,52,60,49
23083,1175,343,166,268,327,71
23084,761,400,9,93,88,171
23085,345,75,110,35,95,30
23086,1717,759,219,342,195,202
23089,2706,1049,352,555,379,371
23091,171,74,9,37,0,51
23092,183,65,64,37,0,17
23093,6427,2351,951,1394,857,874
23102,1746,742,309,477,102,116
23103,2665,1371,264,753,139,138
23106,758,223,131,130,140,134
23108,125,11,25,0,0,89
23109,974,459,44,221,152,98
23110,368,141,51,14,126,36
23111,18997,8690,2346,4584,1725,1652
23112,28466,15760,3373,6021,1299,2013
23113,12085,7492,1353,2343,351,546
23114,10310,5524,1048,2598,414,726
23116,17023,8766,2177,3823,1094,1163
23117,4338,1341,961,1171,371,494
23119,76,11,52,0,0,13
23120,5878,3369,507,1361,296,345
23123,744,181,257,86,115,105
23124,2600,1254,403,456,340,147
23126,213,112,0,77,15,9
23128,332,129,59,71,11,62
23129,183,98,51,34,0,0
23130,71,34,0,37,0,0
23138,176,65,45,0,32,34
23139,13061,5725,1631,3021,1619,1065
23140,2905,1134,319,679,393,380
23141,4062,1762,477,923,494,406
23146,1661,893,165,279,206,118
23148,738,252,181,142,112,51
23149,1548,485,210,404,99,350
23150,6540,1805,1318,1712,582,1123
23153,695,297,65,193,70,70
23156,596,134,127,51,137,147
23160,6,1,2,0,3,0
23161,31,15,0,0,16,0
23163,18,0,0,0,0,18
23168,3689,1745,626,728,256,334
23169,336,112,99,104,7,14
23173,853,196,291,277,1,88
23175,907,327,318,149,55,58
23176,115,69,0,46,0,0
23177,472,178,62,203,9,20
23180,275,36,72,64,85,18
23181,2772,971,428,702,323,348
23185,22988,10923,3571,5687,1325,1482
23188,19572,9400,3086,4188,1104,1794
23192,3430,1409,544,775,410,292
23219,2837,1717,453,470,57,140
23220,19738,9285,4337,4406,604,1106
23221,9855,5890,1121,1934,436,474
23222,13428,3787,3262,3116,813,2450
23223,26895,9145,5468,7167,1163,3952
23224,19120,4805,5168,4008,2453,2686
