ZIP,Total in Working Age,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher
23250,0,0,0,0,0
23294,10883,752,2005,2892,5234
23301,928,421,367,64,76
23302,38,0,0,22,16
23303,245,33,98,68,46
23304,0,0,0,0,0
23306,542,53,119,251,119
23307,325,69,172,84,0
23308,1021,189,440,293,99
23310,1930,281,497,545,607
23314,4792,169,1236,1807,1580
23315,733,82,230,327,94
23316,216,23,45,119,29
23320,34386,1804,7009,12000,13573
23321,18663,669,3827,7029,7138
23322,35418,1677,6452,12022,15267
23323,21210,1124,5173,8123,6790
23324,12076,1605,3795,4710,1966
23325,9432,718,2787,3415,2512
23336,1383,110,257,568,448
23337,213,33,64,11,105
23347,488,23,184,101,180
23350,1669,207,759,436,267
23354,98,7,7,12,72
23356,480,0,165,167,148
23357,339,37,158,99,45
23358,78,0,34,34,10
23359,766,42,498,140,86
23389,116,0,14,92,10
23395,52,0,52,0,0
23398,17,0,0,10,7
23401,135,31,50,36,18
23405,434,0,147,126,161
23407,493,280,49,92,72
23408,48,0,48,0,0
23409,52,5,47,0,0
23410,891,20,352,364,155
23413,317,47,146,77,47
23414,156,156,0,0,0
23415,947,160,461,246,80
23416,53,3,50,0,0
23417,1521,29,344,567,581
23418,440,29,132,116,163
23420,1497,340,621,399,137
23421,1845,373,709,534,229
23422,43,0,0,43,0
23423,147,27,26,67,27
23426,16,0,0,16,0
23427,155,21,75,49,10
23430,9658,800,2742,3096,3020
23432,812,10,223,298,281
23433,484,8,80,124,272
23434,26088,2779,7342,9441,6526
23435,17801,735,3649,6094,7323
23436,569,12,80,272,205
23437,2265,217,646,950,452
23438,822,30,280,321,191
23440,277,52,168,46,11
23441,40,0,21,19,0
23442,464,32,287,99,46
23451,22839,722,3499,6838,11780
23452,30856,1760,7075,12196,9825
23453,19029,1143,4245,7748,5893
23454,31763,1818,5587,11541,12817
23455,26813,1821,4839,8379,11774
23456,31942,1100,4569,12857,13416
23457,2506,93,713,986,714
23459,601,22,78,352,149
