ZIP,Total in Working Age,Less than high school graduate,Less than high school graduate~In labor force,Less than high school graduate~In labor force~In Armed Forces,Less than high school graduate~In labor force~Civilian,Less than high school graduate~In labor force~Civilian~Employed,Less than high school graduate~In labor force~Civilian~Unemployed,Less than high school graduate~Not in labor force,High school graduate (includes equivalency),High school graduate (includes equivalency)~In labor force,High school graduate (includes equivalency)~In labor force~In Armed Forces,High school graduate (includes equivalency)~In labor force~Civilian,High school graduate (includes equivalency)~In labor force~Civilian~Employed,High school graduate (includes equivalency)~In labor force~Civilian~Unemployed,High school graduate (includes equivalency)~Not in labor force,Some college or associate's degree,Some college or associate's degree~In labor force,Some college or associate's degree~In labor force~In Armed Forces,Some college or associate's degree~In labor force~Civilian,Some college or associate's degree~In labor force~Civilian~Employed,Some college or associate's degree~In labor force~Civilian~Unemployed,Some college or associate's degree~Not in labor force,Bachelor's degree or higher,Bachelor's degree or higher~In labor force,Bachelor's degree or higher~In labor force~In Armed Forces,Bachelor's degree or higher~In labor force~Civilian,Bachelor's degree or higher~In labor force~Civilian~Employed,Bachelor's degree or higher~In labor force~Civilian~Unemployed,Bachelor's degree or higher~Not in labor force
22554,33172,2080,1320,15,1305,1239,66,760,6668,4594,100,4494,4398,96,2074,9336,7251,336,6915,6744,171,2085,15088,13305,561,12744,12481,263,1783
22556,16779,1801,1165,0,1165,1092,73,636,3237,2478,6,2472,2332,140,759,5150,3972,188,3784,3650,134,1178,6591,5552,236,5316,5312,4,1039
22560,3146,450,329,0,329,278,51,121,1293,917,0,917,884,33,376,929,780,0,780,732,48,149,474,430,0,430,398,32,44
22567,1793,175,166,0,166,166,0,9,696,514,0,514,514,0,182,641,540,0,540,529,11,101,281,206,0,206,206,0,75
22572,4322,768,206,0,206,206,0,562,1567,645,0,645,572,73,922,1247,728,0,728,726,2,519,740,600,0,600,600,0,140
22576,756,72,16,0,16,16,0,56,203,168,0,168,168,0,35,235,213,0,213,213,0,22,246,150,0,150,150,0,96
22578,1327,94,40,0,40,39,1,54,443,305,0,305,303,2,138,352,235,0,235,234,1,117,438,350,0,350,350,0,88
22580,3078,405,172,0,172,172,0,233,1365,1082,0,1082,1040,42,283,686,507,0,507,501,6,179,622,531,0,531,531,0,91
22601,14832,1792,1230,0,1230,1113,117,562,3722,3166,0,3166,2759,407,556,4388,3481,48,3433,3398,35,907,4930,4297,97,4200,4122,78,633
22602,15895,1418,1072,0,1072,982,90,346,4897,3978,0,3978,3889,89,919,4929,4251,0,4251,4164,87,678,4651,3988,35,3953,3907,46,663
22603,7976,877,438,0,438,425,13,439,2974,1790,0,1790,1769,21,1184,2302,1796,12,1784,1711,73,506,1823,1677,69,1608,1570,38,146
22610,699,67,36,0,36,31,5,31,363,283,0,283,283,0,80,205,189,0,189,187,2,16,64,40,0,40,40,0,24
22611,4644,353,253,0,253,253,0,100,1211,798,0,798,749,49,413,1417,1267,0,1267,1208,59,150,1663,1382,14,1368,1336,32,281
22620,1524,135,88,0,88,88,0,47,369,334,0,334,332,2,35,457,339,0,339,339,0,118,563,491,0,491,484,7,72
22623,496,74,50,0,50,50,0,24,106,57,0,57,57,0,49,257,253,0,253,253,0,4,59,59,0,59,59,0,0
22624,1524,169,70,0,70,70,0,99,521,445,0,445,403,42,76,404,327,0,327,319,8,77,430,383,0,383,360,23,47
22625,1827,82,82,0,82,82,0,0,665,512,0,512,491,21,153,622,459,48,411,398,13,163,458,422,0,422,422,0,36
22627,350,0,0,0,0,0,0,0,121,25,0,25,25,0,96,53,53,0,53,53,0,0,176,125,0,125,125,0,51
22630,17957,1867,1260,0,1260,1157,103,607,6543,4719,0,4719,4258,461,1824,5588,4375,4,4371,4189,182,1213,3959,3393,0,3393,3356,37,566
22637,1173,311,61,0,61,61,0,250,466,385,0,385,385,0,81,234,168,0,168,168,0,66,162,114,0,114,114,0,48
22639,242,21,10,0,10,10,0,11,45,32,0,32,32,0,13,104,104,0,104,104,0,0,72,54,0,54,54,0,18
22640,137,16,16,0,16,16,0,0,43,24,0,24,24,0,19,34,34,0,34,34,0,0,44,35,0,35,35,0,9
22641,128,0,0,0,0,0,0,0,29,29,0,29,29,0,0,72,56,0,56,56,0,16,27,18,0,18,18,0,9
22642,2757,319,146,0,146,146,0,173,729,656,0,656,626,30,73,1107,857,0,857,713,144,250,602,462,0,462,448,14,140
22643,168,0,0,0,0,0,0,0,19,19,0,19,19,0,0,54,54,0,54,54,0,0,95,29,0,29,29,0,66
22644,1250,118,104,0,104,104,0,14,521,378,0,378,357,21,143,375,314,0,314,291,23,61,236,227,0,227,215,12,9
22645,2158,211,133,0,133,133,0,78,773,590,0,590,590,0,183,665,566,0,566,554,12,99,509,487,0,487,476,11,22
22646,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,6,6,0,7,0,0,0,0,0,0,0
22650,274,15,15,0,15,15,0,0,116,99,0,99,99,0,17,37,31,0,31,31,0,6,106,71,0,71,63,8,35
22652,736,78,47,0,47,33,14,31,280,209,0,209,209,0,71,232,209,0,209,188,21,23,146,105,0,105,105,0,41
22654,505,79,79,0,79,52,27,0,87,41,0,41,41,0,46,139,129,0,129,97,32,10,200,200,0,200,200,0,0
22655,11686,1190,836,0,836,655,181,354,3313,2782,0,2782,2754,28,531,3855,3317,0,3317,3180,137,538,3328,2835,4,2831,2812,19,493
22656,2066,164,133,0,133,133,0,31,502,490,0,490,473,17,12,737,554,0,554,554,0,183,663,612,30,582,582,0,51
22657,5249,432,211,0,211,194,17,221,1875,1491,28,1463,1398,65,384,1923,1435,2,1433,1407,26,488,1019,866,12,854,825,29,153
22660,1161,188,179,0,179,129,50,9,650,580,0,580,574,6,70,227,163,1,162,144,18,64,96,65,0,65,65,0,31
22663,323,55,55,0,55,54,1,0,57,10,0,10,10,0,47,94,83,0,83,83,0,11,117,117,0,117,117,0,0
22664,4478,536,354,0,354,354,0,182,1505,1298,0,1298,1276,22,207,1406,1129,0,1129,1119,10,277,1031,833,0,833,821,12,198
22701,17985,2102,1389,0,1389,1314,75,713,5056,4049,55,3994,3795,199,1007,6237,5393,9,5384,5255,129,844,4590,3730,0,3730,3621,109,860
22709,711,16,0,0,0,0,0,16,237,205,0,205,205,0,32,291,238,0,238,238,0,53,167,167,0,167,167,0,0
22711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22712,4712,592,416,0,416,416,0,176,1379,1171,0,1171,1103,68,208,1764,1535,0,1535,1516,19,229,977,888,5,883,883,0,89
22713,789,115,98,0,98,98,0,17,341,298,0,298,298,0,43,220,128,0,128,128,0,92,113,100,0,100,100,0,13
22714,441,38,8,0,8,8,0,30,164,149,0,149,149,0,15,107,88,0,88,88,0,19,132,118,0,118,118,0,14
22715,625,38,38,0,38,38,0,0,193,133,0,133,133,0,60,166,71,0,71,71,0,95,228,205,0,205,205,0,23
22716,496,0,0,0,0,0,0,0,81,81,0,81,81,0,0,313,286,0,286,286,0,27,102,49,0,49,49,0,53
22718,414,79,37,0,37,37,0,42,169,82,0,82,82,0,87,67,55,0,55,55,0,12,99,30,0,30,30,0,69
22719,26,0,0,0,0,0,0,0,26,26,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22720,591,18,9,0,9,9,0,9,254,243,0,243,243,0,11,176,141,0,141,141,0,35,143,103,8,95,95,0,40
22722,139,0,0,0,0,0,0,0,68,59,0,59,33,26,9,71,71,0,71,71,0,0,0,0,0,0,0,0,0
22723,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,14,14,0,0
22724,1252,50,50,0,50,50,0,0,259,259,0,259,243,16,0,520,407,0,407,378,29,113,423,395,0,395,395,0,28
22726,536,9,9,0,9,9,0,0,307,277,0,277,231,46,30,185,89,0,89,74,15,96,35,35,0,35,35,0,0
22727,3081,282,194,0,194,194,0,88,1224,918,0,918,909,9,306,830,732,0,732,732,0,98,745,568,0,568,568,0,177
22728,1329,115,86,0,86,86,0,29,444,354,0,354,354,0,90,471,356,0,356,356,0,115,299,284,0,284,284,0,15
22729,1146,309,10,0,10,10,0,299,554,80,0,80,80,0,474,238,24,0,24,24,0,214,45,5,0,5,5,0,40
22730,86,0,0,0,0,0,0,0,40,40,0,40,40,0,0,46,46,0,46,46,0,0,0,0,0,0,0,0,0
22731,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,12,12,0,0
22732,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,52,0,52,52,0,13
22733,694,76,62,0,62,62,0,14,298,271,0,271,271,0,27,148,113,0,113,113,0,35,172,172,0,172,172,0,0
22734,1981,419,350,0,350,315,35,69,571,510,0,510,493,17,61,608,509,0,509,509,0,99,383,347,3,344,332,12,36
22735,1330,243,171,0,171,171,0,72,550,409,0,409,409,0,141,422,354,0,354,343,11,68,115,101,0,101,101,0,14
22736,508,118,41,0,41,41,0,77,117,48,0,48,48,0,69,222,194,0,194,194,0,28,51,51,0,51,12,39,0
22737,1700,224,194,0,194,163,31,30,753,571,0,571,544,27,182,410,301,0,301,286,15,109,313,267,0,267,267,0,46
22738,620,22,0,0,0,0,0,22,94,94,0,94,94,0,0,272,210,0,210,176,34,62,232,218,0,218,218,0,14
22740,461,29,29,0,29,29,0,0,223,214,0,214,173,41,9,85,85,0,85,85,0,0,124,108,0,108,108,0,16
22741,102,40,40,0,40,40,0,0,0,0,0,0,0,0,0,14,14,0,14,14,0,0,48,25,0,25,25,0,23
22742,1043,119,82,0,82,82,0,37,440,354,0,354,346,8,86,293,151,0,151,151,0,142,191,147,0,147,147,0,44
22743,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,32,0,32,32,0,22
22747,538,63,54,0,54,54,0,9,118,78,0,78,78,0,40,63,43,0,43,43,0,20,294,230,0,230,230,0,64
22749,114,0,0,0,0,0,0,0,25,25,0,25,25,0,0,27,13,0,13,13,0,14,62,62,0,62,62,0,0
22801,16269,1834,1519,0,1519,1470,49,315,3420,2549,0,2549,2529,20,871,3686,2837,0,2837,2713,124,849,7329,6412,11,6401,6279,122,917
22802,16137,3170,2168,0,2168,2073,95,1002,5383,4057,0,4057,3825,232,1326,3128,2460,10,2450,2353,97,668,4456,3906,0,3906,3776,130,550
22807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22810,262,0,0,0,0,0,0,0,82,51,0,51,51,0,31,98,98,0,98,98,0,0,82,82,0,82,82,0,0
22811,287,55,28,0,28,19,9,27,158,158,0,158,158,0,0,24,21,0,21,21,0,3,50,37,0,37,37,0,13
22812,3543,261,157,0,157,157,0,104,978,789,0,789,778,11,189,834,720,0,720,612,108,114,1470,1311,0,1311,1307,4,159
22815,4629,891,643,0,643,569,74,248,1916,1593,0,1593,1515,78,323,969,868,0,868,857,11,101,853,773,0,773,764,9,80
22820,138,0,0,0,0,0,0,0,64,64,0,64,46,18,0,74,74,0,74,74,0,0,0,0,0,0,0,0,0
22821,3055,718,599,0,599,599,0,119,1049,829,0,829,828,1,220,670,569,4,565,565,0,101,618,563,0,563,547,16,55
22824,3247,225,128,0,128,128,0,97,1534,1275,0,1275,1232,43,259,830,669,0,669,633,36,161,658,578,0,578,578,0,80
22827,5527,806,477,7,470,470,0,329,2419,1885,0,1885,1830,55,534,1623,1458,0,1458,1458,0,165,679,615,0,615,613,2,64
22830,1064,242,195,0,195,195,0,47,478,380,0,380,380,0,98,201,110,0,110,110,0,91,143,127,0,127,127,0,16
22831,564,108,32,0,32,32,0,76,299,231,0,231,231,0,68,73,73,0,73,73,0,0,84,84,0,84,84,0,0
22832,367,92,92,0,92,92,0,0,74,58,0,58,58,0,16,79,71,0,71,71,0,8,122,113,0,113,104,9,9
22834,474,27,19,0,19,19,0,8,220,194,0,194,194,0,26,112,104,0,104,104,0,8,115,107,0,107,100,7,8
22835,6273,865,510,0,510,460,50,355,2713,1871,0,1871,1847,24,842,1594,1417,0,1417,1363,54,177,1101,911,0,911,911,0,190
22840,2803,119,57,0,57,57,0,62,750,650,0,650,641,9,100,681,488,0,488,485,3,193,1253,997,0,997,997,0,256
22841,1515,219,177,0,177,177,0,42,592,531,0,531,496,35,61,345,306,0,306,306,0,39,359,319,0,319,319,0,40
22842,2941,311,217,0,217,217,0,94,1319,966,11,955,882,73,353,876,741,0,741,715,26,135,435,380,0,380,369,11,55
22843,1172,245,158,0,158,158,0,87,411,365,0,365,365,0,46,172,136,0,136,136,0,36,344,326,0,326,326,0,18
22844,2279,206,154,0,154,147,7,52,939,496,0,496,496,0,443,561,440,0,440,429,11,121,573,474,0,474,474,0,99
22845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22846,840,62,51,0,51,51,0,11,233,178,0,178,165,13,55,202,118,0,118,118,0,84,343,343,10,333,332,1,0
22847,424,37,23,0,23,23,0,14,158,121,0,121,121,0,37,160,151,0,151,145,6,9,69,61,0,61,61,0,8
22849,2566,270,113,0,113,113,0,157,1203,919,0,919,913,6,284,844,701,0,701,677,24,143,249,246,0,246,184,62,3
22850,763,71,49,0,49,49,0,22,293,236,0,236,229,7,57,218,163,0,163,157,6,55,181,109,0,109,109,0,72
22851,3152,523,314,0,314,295,19,209,1600,1162,0,1162,1064,98,438,725,625,0,625,560,65,100,304,207,6,201,185,16,97
22853,2399,339,213,0,213,193,20,126,1167,772,0,772,753,19,395,448,343,0,343,343,0,105,445,409,0,409,282,127,36
22901,18299,1124,920,0,920,920,0,204,1864,1422,0,1422,1404,18,442,4353,3380,13,3367,3296,71,973,10958,9223,104,9119,9035,84,1735
22902,15556,1439,873,0,873,732,141,566,3014,2108,16,2092,2070,22,906,2737,2383,7,2376,2243,133,354,8366,7636,52,7584,7561,23,730
22903,18716,1262,983,0,983,901,82,279,2239,1675,19,1656,1504,152,564,2689,2275,26,2249,2024,225,414,12526,10028,84,9944,9598,346,2498
22904,175,0,0,0,0,0,0,0,33,0,0,0,0,0,33,0,0,0,0,0,0,0,142,70,0,70,70,0,72
22911,9532,643,415,0,415,415,0,228,1329,1129,0,1129,1049,80,200,1877,1607,22,1585,1525,60,270,5683,5215,57,5158,4992,166,468
22920,1878,183,150,0,150,150,0,33,447,385,0,385,373,12,62,382,371,0,371,371,0,11,866,759,0,759,759,0,107
22922,1169,175,97,0,97,97,0,78,463,361,0,361,348,13,102,167,64,0,64,64,0,103,364,343,0,343,343,0,21
22923,3308,79,50,0,50,50,0,29,856,755,0,755,755,0,101,1048,787,0,787,766,21,261,1325,1168,7,1161,1148,13,157
22931,111,3,3,0,3,3,0,0,9,9,0,9,9,0,0,0,0,0,0,0,0,0,99,99,0,99,96,3,0
22932,4050,111,57,0,57,57,0,54,557,364,0,364,324,40,193,579,352,0,352,352,0,227,2803,2626,0,2626,2497,129,177
22935,354,28,28,0,28,28,0,0,120,100,0,100,86,14,20,147,64,0,64,64,0,83,59,36,0,36,36,0,23
22936,2527,150,128,0,128,128,0,22,263,178,0,178,178,0,85,334,306,0,306,306,0,28,1780,1486,14,1472,1427,45,294
22937,1047,128,71,0,71,71,0,57,207,178,0,178,178,0,29,420,404,13,391,391,0,16,292,259,0,259,234,25,33
22938,564,61,61,0,61,8,53,0,255,199,0,199,189,10,56,103,96,0,96,96,0,7,145,145,0,145,145,0,0
22939,3276,217,83,0,83,83,0,134,780,559,0,559,537,22,221,1025,824,0,824,799,25,201,1254,1126,0,1126,1099,27,128
22940,537,81,35,0,35,35,0,46,149,58,0,58,58,0,91,50,40,0,40,40,0,10,257,218,0,218,218,0,39
22942,5491,382,265,0,265,265,0,117,1773,1332,0,1332,1213,119,441,2055,1792,0,1792,1764,28,263,1281,1098,0,1098,1077,21,183
22943,255,37,37,0,37,37,0,0,46,46,0,46,46,0,0,27,6,0,6,6,0,21,145,133,0,133,133,0,12
22946,111,16,0,0,0,0,0,16,36,19,0,19,19,0,17,0,0,0,0,0,0,0,59,48,0,48,24,24,11
22947,1875,167,102,0,102,102,0,65,284,231,0,231,224,7,53,337,279,0,279,269,10,58,1087,652,0,652,598,54,435
22948,12,0,0,0,0,0,0,0,12,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22949,695,137,8,0,8,8,0,129,319,99,0,99,99,0,220,126,116,0,116,116,0,10,113,91,0,91,91,0,22
22952,1184,26,26,0,26,26,0,0,505,388,0,388,388,0,117,493,419,0,419,419,0,74,160,125,0,125,125,0,35
22958,804,19,0,0,0,0,0,19,163,135,0,135,135,0,28,202,176,0,176,159,17,26,420,275,0,275,275,0,145
22959,894,105,22,0,22,22,0,83,191,179,0,179,147,32,12,191,176,0,176,152,24,15,407,377,0,377,377,0,30
22960,5509,597,350,0,350,312,38,247,2636,1932,0,1932,1838,94,704,1411,1177,0,1177,1132,45,234,865,680,0,680,680,0,185
22963,8220,378,223,0,223,212,11,155,1709,1190,0,1190,1161,29,519,2655,2183,0,2183,2126,57,472,3478,2755,14,2741,2707,34,723
22964,83,0,0,0,0,0,0,0,20,20,0,20,20,0,0,17,17,0,17,17,0,0,46,21,0,21,21,0,25
22967,1013,147,110,0,110,110,0,37,626,437,0,437,386,51,189,78,78,0,78,68,10,0,162,112,0,112,74,38,50
22968,5902,410,254,0,254,237,17,156,1678,1364,0,1364,1364,0,314,1798,1665,0,1665,1620,45,133,2016,1843,20,1823,1809,14,173
22969,822,70,70,0,70,70,0,0,447,265,0,265,265,0,182,125,125,0,125,125,0,0,180,173,0,173,173,0,7
22971,929,225,211,0,211,190,21,14,322,237,0,237,237,0,85,255,238,0,238,238,0,17,127,109,0,109,109,0,18
22972,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,57,57,0,57,57,0,0
22973,2557,460,335,0,335,308,27,125,919,674,0,674,584,90,245,693,492,1,491,462,29,201,485,411,0,411,400,11,74
22974,3251,397,141,0,141,141,0,256,976,408,0,408,408,0,568,955,425,0,425,425,0,530,923,832,0,832,832,0,91
22976,187,31,26,0,26,26,0,5,86,78,0,78,78,0,8,50,50,0,50,50,0,0,20,6,0,6,6,0,14
22980,16519,1717,994,0,994,825,169,723,6220,4994,0,4994,4793,201,1226,4154,3553,41,3512,3369,143,601,4428,4004,25,3979,3960,19,424
22989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23002,5443,686,551,0,551,534,17,135,2404,1993,0,1993,1944,49,411,1243,1012,0,1012,980,32,231,1110,928,0,928,864,64,182
23004,496,58,2,0,2,2,0,56,327,293,0,293,293,0,34,109,92,0,92,86,6,17,2,2,0,2,2,0,0
23005,8632,561,401,0,401,375,26,160,2038,1565,0,1565,1515,50,473,2430,2005,0,2005,1935,70,425,3603,3244,21,3223,3128,95,359
23009,3737,78,53,0,53,53,0,25,1297,1086,0,1086,1046,40,211,1588,1143,0,1143,1103,40,445,774,661,0,661,661,0,113
23011,1031,243,115,0,115,115,0,128,354,111,0,111,111,0,243,244,64,0,64,64,0,180,190,141,0,141,141,0,49
23015,2168,174,112,0,112,71,41,62,644,474,0,474,463,11,170,470,342,0,342,329,13,128,880,839,0,839,839,0,41
23021,157,46,0,0,0,0,0,46,66,66,0,66,66,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,45
23022,391,39,10,0,10,0,10,29,240,172,0,172,172,0,68,27,15,0,15,15,0,12,85,85,0,85,85,0,0
23023,436,0,0,0,0,0,0,0,239,136,0,136,136,0,103,62,32,0,32,32,0,30,135,118,0,118,118,0,17
23024,5380,325,253,0,253,253,0,72,1828,1194,0,1194,1114,80,634,1420,1232,0,1232,1222,10,188,1807,1361,26,1335,1325,10,446
23025,62,0,0,0,0,0,0,0,43,43,0,43,43,0,0,0,0,0,0,0,0,0,19,19,0,19,19,0,0
23027,516,108,33,0,33,14,19,75,159,151,0,151,151,0,8,179,150,0,150,141,9,29,70,70,0,70,70,0,0
23030,2496,432,297,0,297,293,4,135,976,776,0,776,759,17,200,671,440,0,440,437,3,231,417,359,0,359,349,10,58
23032,195,9,9,0,9,9,0,0,61,56,0,56,50,6,5,93,93,0,93,62,31,0,32,32,0,32,0,32,0
23035,681,48,35,0,35,22,13,13,184,166,0,166,166,0,18,313,271,0,271,234,37,42,136,129,0,129,129,0,7
23038,856,75,55,0,55,55,0,20,268,258,0,258,258,0,10,290,212,0,212,212,0,78,223,205,0,205,205,0,18
23039,583,44,44,0,44,44,0,0,64,59,0,59,59,0,5,238,147,0,147,147,0,91,237,223,0,223,212,11,14
23040,2585,163,105,0,105,88,17,58,1075,820,0,820,811,9,255,926,888,0,888,888,0,38,421,338,0,338,338,0,83
23043,683,179,95,0,95,95,0,84,234,182,0,182,153,29,52,140,107,0,107,107,0,33,130,115,0,115,110,5,15
23045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23047,775,84,53,0,53,53,0,31,188,113,0,113,98,15,75,187,173,0,173,160,13,14,316,293,0,293,293,0,23
23050,244,32,32,0,32,32,0,0,0,0,0,0,0,0,0,114,114,0,114,114,0,0,98,98,0,98,98,0,0
23055,514,56,35,0,35,35,0,21,62,62,0,62,62,0,0,73,52,0,52,52,0,21,323,323,0,323,323,0,0
23056,251,15,15,0,15,15,0,0,0,0,0,0,0,0,0,120,120,0,120,120,0,0,116,70,0,70,70,0,46
23059,21170,376,291,0,291,291,0,85,1801,1136,0,1136,1111,25,665,3939,3482,0,3482,3447,35,457,15054,13293,0,13293,13006,287,1761
23060,19461,1202,1068,0,1068,1011,57,134,2664,2115,6,2109,2092,17,549,4893,4174,15,4159,3970,189,719,10702,9511,0,9511,9357,154,1191
23061,11485,1136,663,0,663,615,48,473,3621,2953,26,2927,2726,201,668,4064,3396,46,3350,3283,67,668,2664,2308,15,2293,2247,46,356
23062,1433,138,14,0,14,14,0,124,466,274,0,274,274,0,192,412,310,21,289,289,0,102,417,267,0,267,267,0,150
23063,2521,207,118,0,118,110,8,89,919,632,0,632,612,20,287,773,286,0,286,286,0,487,622,417,0,417,417,0,205
23065,1255,58,30,0,30,30,0,28,392,261,0,261,261,0,131,521,439,0,439,439,0,82,284,220,0,220,220,0,64
23066,173,0,0,0,0,0,0,0,125,125,0,125,125,0,0,48,48,0,48,48,0,0,0,0,0,0,0,0,0
23068,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,33,33,0,0,0,0,0,0,0,0,0
23069,1714,138,58,0,58,58,0,80,583,424,0,424,399,25,159,625,560,0,560,560,0,65,368,368,0,368,368,0,0
23070,258,0,0,0,0,0,0,0,43,43,0,43,43,0,0,107,101,0,101,101,0,6,108,108,0,108,108,0,0
23071,746,84,16,0,16,16,0,68,172,165,0,165,145,20,7,330,280,0,280,257,23,50,160,107,0,107,107,0,53
23072,6418,632,390,0,390,375,15,242,1920,1524,0,1524,1487,37,396,2388,1783,108,1675,1591,84,605,1478,1292,52,1240,1234,6,186
23075,4704,484,386,0,386,386,0,98,1839,1351,0,1351,1334,17,488,1458,1151,0,1151,1001,150,307,923,923,0,923,923,0,0
23076,338,22,0,0,0,0,0,22,113,16,0,16,16,0,97,22,22,0,22,22,0,0,181,133,2,131,131,0,48
23079,242,31,20,0,20,20,0,11,88,74,0,74,74,0,14,97,94,0,94,94,0,3,26,26,0,26,26,0,0
23083,1225,180,91,0,91,91,0,89,499,358,0,358,358,0,141,344,293,0,293,293,0,51,202,168,0,168,168,0,34
23084,708,37,27,0,27,27,0,10,254,211,0,211,211,0,43,217,171,0,171,171,0,46,200,192,0,192,185,7,8
23085,282,0,0,0,0,0,0,0,114,107,0,107,107,0,7,90,90,0,90,90,0,0,78,78,0,78,78,0,0
23086,1714,82,35,0,35,35,0,47,577,478,0,478,449,29,99,608,499,0,499,477,22,109,447,405,0,405,391,14,42
23089,2923,213,213,0,213,213,0,0,819,605,29,576,571,5,214,1003,786,0,786,786,0,217,888,811,14,797,772,25,77
23091,205,0,0,0,0,0,0,0,69,9,0,9,9,0,60,136,136,0,136,136,0,0,0,0,0,0,0,0,0
23092,290,12,0,0,0,0,0,12,65,61,0,61,61,0,4,85,68,0,68,68,0,17,128,54,0,54,54,0,74
23093,7014,891,413,0,413,368,45,478,2496,1682,0,1682,1511,171,814,1948,1621,0,1621,1596,25,327,1679,1434,0,1434,1424,10,245
23102,1556,20,8,0,8,8,0,12,416,308,0,308,308,0,108,314,251,0,251,192,59,63,806,664,0,664,650,14,142
23103,2802,153,19,0,19,19,0,134,336,263,0,263,263,0,73,406,339,0,339,296,43,67,1907,1653,0,1653,1630,23,254
23106,846,13,0,0,0,0,0,13,385,240,0,240,240,0,145,233,225,0,225,225,0,8,215,215,0,215,215,0,0
23108,58,0,0,0,0,0,0,0,38,38,0,38,38,0,0,14,14,0,14,14,0,0,6,6,0,6,6,0,0
23109,1283,85,41,0,41,41,0,44,418,192,0,192,192,0,226,403,326,13,313,313,0,77,377,295,0,295,295,0,82
23110,510,14,14,0,14,14,0,0,94,55,0,55,55,0,39,93,72,0,72,72,0,21,309,205,0,205,198,7,104
23111,18952,1077,707,0,707,658,49,370,4775,3651,0,3651,3550,101,1124,6022,5329,0,5329,5222,107,693,7078,6344,12,6332,6271,61,734
23112,28651,1267,849,0,849,771,78,418,3729,2935,0,2935,2900,35,794,8403,6684,56,6628,6460,168,1719,15252,13765,88,13677,13385,292,1487
23113,12719,211,115,0,115,107,8,96,1121,870,0,870,817,53,251,2255,1616,0,1616,1547,69,639,9132,7561,0,7561,7401,160,1571
23114,9750,407,200,0,200,200,0,207,998,744,0,744,744,0,254,2312,1871,0,1871,1819,52,441,6033,5531,28,5503,5394,109,502
23116,16372,342,232,0,232,232,0,110,2909,2330,0,2330,2267,63,579,4138,3426,0,3426,3372,54,712,8983,8052,32,8020,7764,256,931
23117,5041,584,428,0,428,331,97,156,2089,1417,0,1417,1256,161,672,1331,1052,0,1052,1052,0,279,1037,899,50,849,829,20,138
23119,89,13,13,0,13,13,0,0,65,38,0,38,38,0,27,11,11,0,11,11,0,0,0,0,0,0,0,0,0
23120,6075,129,128,0,128,128,0,1,707,589,0,589,575,14,118,1439,1298,0,1298,1291,7,141,3800,3270,23,3247,3201,46,530
23123,997,75,27,0,27,19,8,48,551,434,0,434,434,0,117,221,165,0,165,161,4,56,150,63,0,63,63,0,87
23124,2486,65,9,0,9,9,0,56,825,729,0,729,721,8,96,818,693,0,693,693,0,125,778,750,0,750,750,0,28
23126,199,11,0,0,0,0,0,11,43,43,0,43,33,10,0,36,36,0,36,36,0,0,109,103,0,103,103,0,6
23128,357,15,0,0,0,0,0,15,134,99,0,99,99,0,35,64,47,0,47,47,0,17,144,129,0,129,129,0,15
23129,256,0,0,0,0,0,0,0,12,3,0,3,3,0,9,87,39,0,39,39,0,48,157,122,0,122,122,0,35
23130,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,34,0,34,34,0,25,0,0,0,0,0,0,0
23138,187,11,0,0,0,0,0,11,80,62,0,62,62,0,18,87,39,0,39,39,0,48,9,9,0,9,9,0,0
23139,13616,803,502,0,502,479,23,301,4127,2715,0,2715,2670,45,1412,4042,3510,0,3510,3465,45,532,4644,4075,15,4060,4029,31,569
23140,3445,275,195,0,195,192,3,80,933,793,0,793,734,59,140,986,843,9,834,826,8,143,1251,993,47,946,912,34,258
23141,4344,278,265,0,265,246,19,13,1358,1184,0,1184,1163,21,174,1122,903,8,895,772,123,219,1586,1277,27,1250,1238,12,309
23146,1866,43,43,0,43,43,0,0,373,232,0,232,232,0,141,468,364,0,364,364,0,104,982,826,0,826,776,50,156
