ZIP,Total in Working Age,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Cluster
23085,282,0,114,90,78,0
23086,1714,82,577,608,447,0
23089,2923,213,819,1003,888,0
23091,205,0,69,136,0,0
23092,290,12,65,85,128,2
23093,7014,891,2496,1948,1679,4
23102,1556,20,416,314,806,2
23103,2802,153,336,406,1907,2
23106,846,13,385,233,215,4
23108,58,0,38,14,6,1
23109,1283,85,418,403,377,0
23110,510,14,94,93,309,2
23111,18952,1077,4775,6022,7078,0
23112,28651,1267,3729,8403,15252,2
23113,12719,211,1121,2255,9132,2
23114,9750,407,998,2312,6033,2
23116,16372,342,2909,4138,8983,2
23117,5041,584,2089,1331,1037,4
23119,89,13,65,11,0,1
23120,6075,129,707,1439,3800,2
23123,997,75,551,221,150,1
23124,2486,65,825,818,778,0
23126,199,11,43,36,109,2
23128,357,15,134,64,144,2
23129,256,0,12,87,157,2
23130,59,0,0,59,0,0
23138,187,11,80,87,9,0
23139,13616,803,4127,4042,4644,0
23140,3445,275,933,986,1251,0
23141,4344,278,1358,1122,1586,0
23146,1866,43,373,468,982,2
23148,854,131,314,236,173,4
23149,1598,249,592,582,175,4
23150,6937,663,2668,2289,1317,4
23153,653,13,141,145,354,2
23156,616,48,217,294,57,0
23160,2358,605,1348,362,43,4
23161,31,0,31,0,0,1
23163,46,7,39,0,0,1
23168,4079,131,843,1414,1691,0
23169,425,40,143,155,87,0
23173,39,0,8,18,13,0
23175,679,35,311,177,156,4
23176,175,22,0,6,147,2
23177,530,55,72,155,248,2
23180,404,65,149,140,50,4
23181,2548,80,695,910,863,0
23185,22624,1124,4085,6160,11255,2
23188,20504,977,4133,5690,9704,2
23192,3800,228,1255,1133,1184,0
23219,2763,327,195,469,1772,2
23220,16702,925,2024,3372,10381,2
23221,10037,177,738,1514,7608,2
23222,15676,2028,4833,5070,3745,4
23223,30430,3418,8515,9188,9309,4
23224,22720,3985,7870,6626,4239,4
23225,25638,2149,5196,7568,10725,2
23226,9678,584,513,1291,7290,2
23227,13895,1298,2964,3476,6157,2
23228,21260,2282,4923,7012,7043,0
23229,17818,1074,2425,3534,10785,2
23230,4518,435,776,1197,2110,2
23231,21084,1484,6337,8231,5032,0
23233,17849,331,1283,2871,13364,2
23234,24621,5299,8534,6778,4010,4
23235,17041,845,2822,5015,8359,2
23236,13070,556,3006,4140,5368,0
23237,14212,2350,4679,4270,2913,4
23238,13048,492,1785,3414,7357,2
23250,0,0,0,0,0,2
