ZIP,Population_log_ratio,Under 5 years_log_ratio,5 to 9 years_log_ratio,10 to 14 years_log_ratio,15 to 19 years_log_ratio,20 to 24 years_log_ratio,25 to 29 years_log_ratio,30 to 34 years_log_ratio,35 to 39 years_log_ratio,40 to 44 years_log_ratio,45 to 49 years_log_ratio,50 to 54 years_log_ratio,55 to 59 years_log_ratio,60 to 64 years_log_ratio,65 to 69 years_log_ratio,70 to 74 years_log_ratio,75 to 79 years_log_ratio,80 to 84 years_log_ratio,85 years and over_log_ratio,cluster,pca_1,pca_2,dist_to_centroid_0,dist_to_centroid_1,dist_to_centroid_2
24421,0.024339068305267553,0.6061358035703153,0.0837698830654583,-0.32902341260822165,-0.5353023701925448,1.0033021088637843,0.3219711459304131,0.45953232937844035,-0.540121993254421,0.26774785755096353,-0.5672669346709425,0.46563362957461774,0.6333592621809725,-0.06342182643749616,0.6027631190916756,-0.16649651564955725,-0.18457127652796945,-1.2039728043259363,-0.06062462181643502,1,0.5368319437310737,0.06876576038678898,2.25945354527819,1.9520202940153915,6.027987288373323
24422,-0.121391501613628,0.20212418409013377,0.38204483390006594,0.6314536115546057,0.07006756261671665,0.08438739227754777,0.0735024619929261,-0.358945092473272,-0.10153641921942302,0.5331106685554259,-0.7484098592349948,0.4054651081081646,-0.6330975467804345,-0.09991091089026227,-0.05913052322682244,-0.6708414230456468,-0.3789734926611885,-0.5538851132264373,-1.1184149159642893,1,-0.5272666465754778,-0.8502305208166373,2.675464182973016,1.2956866959405917,6.784038870572208
24426,-0.048878507294185525,-0.3918426064268683,0.14258122814444008,0.0411182469294733,0.25977328433470426,-0.22078783762175114,0.16519630726849055,-0.5408064559779264,0.09030878010413446,0.011919092237210549,0.03104462168196065,-0.16757370015939888,-0.11076885766708777,0.1106851237733526,-0.10536051565782589,0.07842196177580263,-0.4624200010356372,0.03509131981127034,-0.4805857385762726,1,-0.24510594700481472,-0.09646730554007467,2.2612603842391286,0.6680923324192937,6.416958515473996
24430,1.2670271738076373,-0.35667494393873245,0.11778303565638293,2.517696472610991,-0.19611487892629054,1.0601460078403133,2.3102479657396144,2.1690537003695227,1.7233821717833182,2.782951509275328,1.8239730892117096,1.3492530894395411,2.0527732945976744,1.09861228866811,0.0,-1.2602536402245255,0.3462762367178338,0.0,-3.7612001156935624,2,4.425703919122418,-1.3979287059455179,6.761570887885587,6.319664395327819,4.677556896335869
24431,-0.3051884874876105,0.4688347220407545,1.9286186519452522,-1.135555803859794,0.18658595558041213,3.091042453358316,-1.277953217323926,-0.4774386077332542,-1.0986122886681096,0.9718605830289664,-0.7786693539981075,-0.6480267452794752,-0.9162907318741556,0.2614797000577571,1.6247053845648884,-0.7368222440626067,-1.3143208614948012,-3.9889840465642745,-3.5553480614894135,0,-0.37669206674808603,0.38941811145371447,4.982049600734248,5.4034002811304225,8.60353509050034
24432,-0.46790057904895654,2.302585092994046,0.0,0.0,0.0,0.0,-0.1625189294977747,-0.11332868530700324,0.0,-2.302585092994046,-4.174387269895637,2.1972245773362196,0.0,0.06453852113757108,-1.791759469228055,0.08004270767353638,0.0,0.0,0.0,1,-1.894919115751783,-1.4959687962661208,6.3258440445428565,5.105963848741744,9.449399430560357
24433,0.28030196515415806,-1.6094379124341003,-1.0986122886681098,1.3862943611198906,2.302585092994046,0.0,-1.0986122886681098,0.0,0.0,-1.2992829841302609,2.70805020110221,0.6931471805599456,-1.6094379124341003,0.0,0.0,-2.0794415416798357,2.0794415416798357,0.0,0.0,0,0.56648034731519,0.20322093993373644,4.5955593420777,5.075171063960842,7.531316190989924
24435,-0.20078890575840536,3.332204510175204,-3.1780538303479458,-2.7080502011022096,-2.3978952727983707,-0.32277339226305113,-1.4423838277709344,0.1786917887433761,0.8183103235139515,-4.634728988229636,0.6118015411059932,0.4248831939652655,-0.5725191927713307,0.10008345855698231,0.40069182935550707,0.4883527679139319,-1.8545603704670857,-4.007333185232471,2.6855773452501515,1,-1.141789027774659,3.485605132823496,7.387853546657187,7.352469497878272,10.416684149907567
24437,0.2589939317983925,-4.727387818712341,1.163150809805681,1.2321436812926327,4.02535169073515,0.0,0.0,0.34174929372205654,-1.1755733298042386,-0.4131871542020744,-1.9029851043382795,4.04305126783455,-0.23590580292806163,1.0986122886681096,-0.7221347174331973,3.9512437185814275,-1.9459101490553132,-2.1400661634962708,5.556828061699537,1,0.7631236124773485,-3.7869452445236553,9.221480539929049,8.858712104112644,10.090353711514759
24439,-0.03967462490766227,1.7272209480904839,-2.3978952727983702,-0.5465437063680696,2.7725887222397816,0.04082199452025481,0.4274440148269396,-3.6888794541139363,1.3499267169490161,-0.2231435513142097,0.13062018241706408,0.10008345855698275,0.8056251639866354,0.03226086221822122,0.7308875085427924,2.047692843365256,1.1631508098056809,-4.948759890378168,-3.912023005428146,1,0.2684637779245248,2.3434669278217424,6.7683012253926655,6.594268140730355,9.015246999897933
24440,0.2010068412181143,1.2253639943072536,-0.38395890288720125,0.8570350356650618,-0.7664784536454947,-0.6097655716208945,1.1950041343431748,-0.4795730802618863,0.36440362131039095,0.8909729238898656,-0.8858315243894466,0.9976363713281069,-0.671640975338982,-0.6241543090729937,-0.019048194970694432,1.4733057381095205,1.056052674249314,-0.6286086594223743,4.127134385045092,1,0.21302727839023117,-0.7915518702213369,4.978674526601367,4.391161756915095,7.282955730613004
