ZIP,Population_log_ratio,Under 5 years_log_ratio,5 to 9 years_log_ratio,10 to 14 years_log_ratio,15 to 19 years_log_ratio,20 to 24 years_log_ratio,25 to 29 years_log_ratio,30 to 34 years_log_ratio,35 to 39 years_log_ratio,40 to 44 years_log_ratio,45 to 49 years_log_ratio,50 to 54 years_log_ratio,55 to 59 years_log_ratio,60 to 64 years_log_ratio,65 to 69 years_log_ratio,70 to 74 years_log_ratio,75 to 79 years_log_ratio,80 to 84 years_log_ratio,85 years and over_log_ratio,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,pca_1,pca_2
23505,0.130037218,0.572623631,0.239317514,-0.073874899,0.063214894,0.526807254,0.315737282,0.327657788,0.006282743,0.221682631,-0.064538521,-0.498753043,-0.115696525,-0.398252872,-0.077244267,-0.389666991,-0.586634591,-0.276753002,-0.395414772,4,0.029309198,0,0,3.79E-06,0.970687008,0.161348434,0.161338548
23507,-0.091948341,-0.172416028,-0.595691844,0.783095417,-1.85629799,0.017857617,0.001787311,0.024845999,0.706451146,0.324119469,-0.296731908,-0.819898886,-0.106767975,0,-0.339677368,-0.803237871,0.31193905,-0.258573988,-0.2285344,4,3.31E-14,0,0,5.89E-05,0.999941061,-0.509852951,0.04193405
23508,0.067990487,-0.701070255,0.346822647,0.28394375,0.042317976,0.258907044,0.061107986,0.100915166,0.020243606,0.40920343,0.179585577,-0.142442191,0.057444006,-0.041528459,-0.385154415,0.62613647,-0.465529349,0.249811798,-0.396415273,0,0.999912603,0,0,8.12E-11,8.74E-05,0.169616543,-0.210949293
23509,-0.072700367,-0.398907708,0.127724374,0.214517497,-0.394946604,-0.054171851,-0.330182048,0.094328665,0.582605306,-0.206682274,0.073888842,-0.139400562,0.010341354,-0.430529077,-0.177858687,0.342634529,-0.264023098,0.182321557,-0.727280187,0,0.999920118,0,0,4.36E-11,7.99E-05,-0.193203805,0.342129116
23510,0.18801119,0.368127438,-0.128381167,-0.496173347,0.679353858,0.603951602,0.090207873,0.065514607,0.520373989,0.696247958,0.414433778,0.343669389,0.256375168,0.164929814,0.128381167,-0.609064063,-0.952900477,-0.225161715,-0.189756535,0,0.987552587,0,0,4.43E-08,0.012447369,0.808425397,-0.083822633
23511,1.266989014,0.021506205,0.14518201,1.049822124,0.650330873,1.517236033,1.245279024,1.027896764,3.284072024,1.892004884,1.83022575,-0.641853886,0.36772478,0,0,0,0,0,0,3,2.45E-179,0,0,1,3.93E-19,3.477400953,0.203724356
23513,-0.084361561,0.061204567,-0.191809937,-0.085626852,0.128280199,-0.066868406,0.18643744,0.1404142,-0.01153859,-0.071458964,-0.334624234,-0.051293294,-0.192313954,-0.091322348,-0.660711905,-0.488920788,0.22208479,0.087011377,-1.441354138,0,0.99997357,0,0,1.35E-11,2.64E-05,-0.366955548,-0.15283772
23517,0.342700199,0.641853886,0.300104592,1.185623666,-0.641853886,0.203779184,0.247704316,0.647569672,-0.269663567,1.812378756,0.495616205,0.317172501,0.101253734,-0.093257493,0.234572247,0.522189382,-0.117783036,-1.223775432,0.893817876,4,2.88E-13,0,0,1.22E-05,0.999987802,1.006898202,-0.565252913
23518,0.038355217,-0.046280753,0.131285806,-0.033152207,0.084503224,0.422081144,0.33885216,0.309725915,0.010515344,0.101731893,-0.154346088,0.033901552,-0.07746368,0.018843088,-0.356214715,0.304141164,-0.554517283,-1.026212259,-0.855351595,0,0.999997662,0,0,7.27E-13,2.34E-06,0.114436376,-0.068322139
23523,-0.184057757,0.84995956,-1.183169677,0.874972583,0.065957968,0.197092874,-0.330663895,-0.448141921,-0.79375188,-2.095441883,0.481838087,-0.019802627,-0.620886613,-0.531796248,-0.369747026,-1.414732296,-0.587786665,-0.548565952,-1.098612289,4,2.92E-36,0,0,0.001063667,0.998936333,-1.091959083,0.752904616
23551,1.715948209,0,0,0,0.585516516,1.865371287,1.461931775,3.931825633,0,3.713572067,0,0,0,0,0,0,0,0,0,3,0,0,0,1,7.56E-56,3.989527823,-1.822879641
23601,-0.109233826,-0.031375123,1.094518955,-0.399386062,-0.53979135,-0.402683465,-0.386831029,0.54727241,-0.385946464,0.361384118,-0.202316617,0.013341617,-0.486074099,0.084652885,-0.263947239,-0.443371806,-0.172441448,0.096183924,-1.655048424,0,0.996888675,0,0,3.00E-09,0.003111322,-0.482652356,-0.418592768
23602,-0.111809356,0.121227751,-0.028446363,0.489248802,-0.022989518,-0.046106023,-0.176289656,-0.238745699,0.009792922,-0.385749245,-0.25018576,0.094458874,-0.489612101,-0.022193543,-0.499743372,0.231015224,-0.428057431,-0.551032044,-0.398958904,0,0.999998317,0,0,1.16E-12,1.68E-06,-0.603306466,-0.166877209
23603,0.458279218,0.702716632,0.359762955,1.400893161,0.711165686,1.785002687,0.906534557,0.409784769,-0.892480083,-0.626702081,0.42803943,-0.209720531,-0.537392651,1.085454204,-0.379489622,1.309921382,0.587786665,-4.219507705,-1.098612289,4,1.05E-52,0,0,0.373862081,0.626137919,0.999568715,0.08610089
23604,1.110786352,0.413722793,-0.032039354,0.799915156,1.895869203,1.541603924,1.588160514,1.05163208,0.204095356,1.102822821,-0.245122458,0.365459773,0.893817876,-0.492476485,-1.252762968,0,0,0,1.609437912,3,6.03E-181,0,0,1,2.61E-17,2.373018649,-0.994335674
23605,-0.184487232,0.044766014,-0.359311729,-0.151106537,-0.360082102,-0.09763847,0.030356462,-0.11686434,-0.00195122,0.069403465,-0.138776513,-0.60781789,-0.291992424,-0.14499031,0.062738341,-0.783604291,0.341561306,-1.12134054,-1.651402112,0,0.999785471,0,0,1.72E-10,0.000214529,-0.546111758,0.416786418
23606,-0.151222902,-0.148187249,-0.173486977,0.184629694,-0.324420505,-0.118253071,0.181746183,-0.126655013,0.054987673,-0.075507553,-0.196710294,-0.279707214,0.092749359,-0.172332999,-0.239321001,-0.536695004,-0.897277031,-0.319698286,-0.818563841,0,0.999999178,0,0,3.13E-13,8.22E-07,-0.495348373,0.025360247
23607,-0.025181037,-0.553464726,-0.124465638,0.128984148,0.441718093,0.503440562,0.034312145,-0.089231134,0.148420005,-0.366350209,-0.200670695,-0.170066135,0.021692825,-0.013850637,0.045205437,0.207427478,-1.551310171,0.003976148,-1.07342204,0,0.999592426,0,0,4.97E-10,0.000407573,-0.108423415,-0.013212067
23608,-0.099184178,0.343793807,-0.184074406,-0.049084325,0.180161729,-0.521839132,-0.046992095,-0.148899423,0.336714543,-0.405465108,0.141904313,-0.167923713,-0.332830228,0.001540832,-0.376176288,-0.644075287,-0.104586522,-0.019048195,-1.393214804,0,0.999993168,0,0,3.59E-12,6.83E-06,-0.467717186,0.184635801
23651,-0.06328145,0.656779536,0.405465108,-0.606135804,-1.945910149,2.047692843,-0.650587566,0,1.32175584,-0.773189888,0.241162057,-0.693147181,-0.328504067,-0.875468737,-0.546543706,-0.405465108,-0.980829253,-0.446287103,0.446287103,4,8.13E-33,0,0,0.011469604,0.988530396,-0.279418761,1.35321946
23661,0.034137225,0.316628675,-0.666478933,-0.050979438,0.81615216,-0.376809852,0.245366688,0.375642847,0.238968592,-0.548565952,0.216586151,0.179744236,-0.326964421,0.78479177,-0.30921816,-0.441832752,0.022599832,-0.190518324,-0.383364761,0,0.89117518,0,0,3.44E-07,0.108824477,0.126358441,-0.232640025
23662,-0.029620764,0.161522417,0.094687321,-0.203983054,0.193085923,-0.112940411,0.087576189,-0.034217957,0.602513549,-0.906240396,0.037238345,-0.187382887,0.106733199,-0.039478811,0.164581022,-0.237991226,-0.040989345,-0.344012329,-0.736632292,0,0.999982209,0,0,7.33E-12,1.78E-05,-0.01407131,0.599761284
23663,-0.040490227,0.165667122,0.419206736,-0.422856851,0.51785965,0.889130964,0.033115609,-0.012658397,-0.21217452,-0.971272866,0.175163869,-0.917247212,-0.085004352,-0.128617378,-0.54910781,-0.78845736,0.287682072,-0.447137805,-1.058260993,4,4.73E-06,0,0,6.77E-06,0.999988506,-0.255880325,0.751900109
23664,-0.062846831,-0.264816248,1.052702587,-0.149143158,0.6206322,-0.503657134,-0.736010885,-0.414681763,-0.331777392,0.252525815,0.290689594,-0.13794287,-0.222025608,0.531879033,-0.178175859,-0.150727191,0.132546656,-2.083599552,-0.09763847,4,6.21E-05,0,0,7.01E-06,0.99993093,-0.349466103,-0.072777823
23665,0.014292208,0.098970718,-0.747727749,0.011173301,-0.12749337,0.517564433,-0.391671786,-0.049480057,0.010666768,0.051293294,0.268263987,0.641853886,0.405465108,-3.828641396,0,0,0,0,0,3,9.26E-74,0,0,0.999999988,1.22E-08,-0.076090928,1.634854379
23666,-0.136239966,0.300019706,0.006344193,-0.193727691,0.02425995,-0.322203267,0.044396422,-0.13056989,0.068131359,-0.166935643,-0.362703249,-0.168364117,-0.362215124,-0.154252497,0.021395136,-0.268191896,-0.466786999,-0.054293082,-1.521074973,0,0.999998898,0,0,3.73E-13,1.10E-06,-0.540096603,0.050396249
23669,-0.082613928,-0.225550291,0.27783532,0.228095808,-0.329683879,0.228593156,0.286510426,-0.042464481,-0.040498492,-0.248435486,-0.364131735,-0.227764438,0.071864561,-0.314751394,0.031438904,-0.491477983,-0.276483747,-1.018339986,-0.208618509,0,0.999995425,0,0,1.64E-12,4.57E-06,-0.274092164,0.129332552
23690,0.348914729,0.244453338,0.449525098,0.155934802,1.057622944,0.983286861,1.379227194,-0.751987681,0.172773192,0.246471804,-0.50169314,-1.554629676,0.287682072,0.053109825,-0.301786679,0.100083459,-4.007333185,1.540445041,0.693147181,3,1.62E-73,0,0,0.999999506,4.94E-07,0.140516905,-0.528119073
23691,-0.061875404,2.890371758,0.619039208,-1.945910149,-1.945910149,0,1.609437912,-1.098612289,0,0,-2.302585093,2.197224577,0,-1.791759469,0,0,0,0,0,3,5.93E-116,0,0,0.999999957,4.32E-08,-0.509826919,-0.031714025
23692,-0.142706242,-0.034079314,-0.429447073,-0.174636033,-0.231525161,0.025784117,0.303073956,-0.395895657,-0.24824034,0.005494519,-0.008340332,-0.096364953,0.141865513,-0.27740641,-0.400376039,-0.123613956,0.432596452,-0.779324877,-0.374191315,0,0.999983539,0,0,7.57E-12,1.65E-05,-0.32952205,0.355057378
23693,-0.038225523,-0.174671428,0.183761442,0.218552878,-0.176838983,0.019640566,-0.055032472,-0.02587209,0.011098893,0.030970217,0.049982641,-0.300718278,-0.030384737,-0.052095112,-0.226773319,0.254701392,-0.069714633,-0.138358433,-1.098612289,0,0.999999757,0,0,6.24E-14,2.43E-07,-0.170518468,0.127307613
23696,-0.043201092,-0.46608973,0.433322063,0.090596895,1.403585858,-1.244940243,-0.055880458,-0.301475395,-0.169233922,1.172039757,-0.699536979,0.187598614,-0.351760929,0.130053128,0.113758885,-0.112477983,0.191667419,0.593063722,-0.553385238,4,7.84E-14,0,0,2.35E-05,0.999976539,-0.2982135,-1.166362251
23701,-0.061526495,0.265802663,0.099026505,0.693147181,-0.437568353,0.281230437,0.088680826,0.070401322,-0.151250726,0.14064886,0.014987791,-0.149112886,0.098596116,-0.05939838,-0.40611467,-0.737380436,-0.652795885,-0.837464939,-0.84729786,0,0.999977877,0,0,1.42E-11,2.21E-05,-0.248263955,-0.119323632
23702,-0.014245727,0.384024777,-0.182692683,-0.652737642,0.507430035,-0.063657852,0.32713728,-0.092058144,0.163227898,0.037740328,0.149763833,-0.268065239,-0.139643466,-0.265281136,-0.449359302,0,-2.159484249,0.037740328,-0.653926467,4,0.000502473,0,0,7.56E-06,0.99948997,-0.261768456,0.144307862
23703,-0.053277269,-0.338619953,-0.165566164,-0.068008657,0.512328254,0.27022527,-0.113292682,-0.14512891,0.111514381,-0.192341066,-0.169418152,-0.095535177,-0.058656862,-0.231683313,0.064860634,0.041445408,-0.058568354,-0.257114909,-0.159630146,0,0.99999967,0,0,1.14E-13,3.30E-07,-0.089173341,0.171507519
23704,-0.040380319,0.687697576,0.111686199,-0.16485835,-0.202553049,0.201190041,-0.111613985,-0.024692613,0.063851472,0.06503247,0.014528101,-0.178843292,-0.604822852,0.23275241,-0.072044238,-0.536421171,-0.152016207,-0.468203449,-1.461517782,0,0.999968288,0,0,1.78E-11,3.17E-05,-0.260598178,0.018786334
23707,-0.238488795,-0.159515819,-0.127189486,0.145756888,-0.172570978,-0.548502276,0.206397619,-0.131066651,-0.720762348,-0.413815887,-0.240554831,-0.305809457,-0.089231134,-0.642374855,-0.245269831,-0.101782694,-1.014626633,0.875468737,-0.703197516,0,0.988769082,0,0,1.42E-08,0.011230904,-0.922488125,0.028144948
23708,1.062618686,0,0,0,-0.606135804,1.239064124,3.135494216,0,3.871201011,0,0,-1.791759469,0,0,0,0,0,0,0,3,2.223e-321,0,0,1,6.86E-30,2.253320785,0.738896133
23709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999971,0,0,6.22E-15,2.94E-08,0.016344498,0.007499312
23801,0.057870164,-0.031933047,-0.506206678,0.194156014,0.165985137,0.549171829,-0.343473432,0.084796537,0.38690309,0.616651148,-0.485507816,-0.443205436,0.733969175,-4.007333185,2.197224577,0,-3.044522438,0,0,3,2.92E-97,0,0,1,6.45E-13,0.107401352,1.630044151
23803,-0.086451104,0.02744455,-0.017781682,0.660121925,0.27367672,-0.028762185,-0.088416601,-0.265703166,0.232001687,-0.183485024,-0.479409428,-0.103426653,-0.357064276,-0.113072125,0.086665248,-0.145332987,-0.326128366,-0.347511466,-1.44001976,0,0.999996399,0,0,1.91E-12,3.60E-06,-0.426264936,-0.164361686
